Serial Number:20555841 --,,,,,,
,,,,,,
"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)",Button Down,Button Up,Host Connect,EOF
2/8/2023 17:04,28.35,36, , , , 
2/8/2023 17:06,27.5,16, , , , 
2/8/2023 17:08,26.51,198, , , , 
2/8/2023 17:10,25.82,50, , , , 
2/8/2023 17:12,25.91,76, , , , 
2/8/2023 17:14,25.18,158, , , , 
2/8/2023 17:16,24.75,182, , , , 
2/8/2023 17:18,24.62,175, , , , 
2/8/2023 17:20,24.45,184, , , , 
2/8/2023 17:22,24.41,114, , , , 
2/8/2023 17:24,24.32,15, , , , 
2/8/2023 17:26,24.62,150, , , , 
2/8/2023 17:28,24.36,134, , , , 
2/8/2023 17:30,24.06,169, , , , 
2/8/2023 17:32,23.94,117, , , , 
2/8/2023 17:34,24.32,178, , , , 
2/8/2023 17:36,24.15,3, , , , 
2/8/2023 17:38,23.85,3, , , , 
2/8/2023 17:40,23.64,3, , , , 
2/8/2023 17:42,23.55,3, , , , 
2/8/2023 17:44,23.46,2, , , , 
2/8/2023 17:46,23.34,2, , , , 
2/8/2023 17:48,23.29,2, , , , 
2/8/2023 17:50,23.29,2, , , , 
2/8/2023 17:52,23.21,2, , , , 
2/8/2023 17:54,23.12,2, , , , 
2/8/2023 17:56,23.08,2, , , , 
2/8/2023 17:58,23.08,2, , , , 
2/8/2023 18:00,23.03,1, , , , 
2/8/2023 18:02,22.95,2, , , , 
2/8/2023 18:04,22.95,2, , , , 
2/8/2023 18:06,22.99,1, , , , 
2/8/2023 18:08,22.95,1, , , , 
2/8/2023 18:10,22.86,1, , , , 
2/8/2023 18:12,22.91,1, , , , 
2/8/2023 18:14,22.95,1, , , , 
2/8/2023 18:16,22.91,1, , , , 
2/8/2023 18:18,22.86,0, , , , 
2/8/2023 18:20,22.82,1, , , , 
2/8/2023 18:22,22.91,0, , , , 
2/8/2023 18:24,22.91,0, , , , 
2/8/2023 18:26,22.82,0, , , , 
2/8/2023 18:28,22.91,161, , , , 
2/8/2023 18:30,22.91,0, , , , 
2/8/2023 18:32,22.86,0, , , , 
2/8/2023 18:34,22.82,0, , , , 
2/8/2023 18:36,22.86,0, , , , 
2/8/2023 18:38,22.86,0, , , , 
2/8/2023 18:40,22.86,150, , , , 
2/8/2023 18:42,22.82,168, , , , 
2/8/2023 18:44,22.86,174, , , , 
2/8/2023 18:46,22.91,177, , , , 
2/8/2023 18:48,22.86,174, , , , 
2/8/2023 18:50,22.86,174, , , , 
2/8/2023 18:52,22.86,175, , , , 
2/8/2023 18:54,22.95,173, , , , 
2/8/2023 18:56,22.91,174, , , , 
2/8/2023 18:58,22.86,175, , , , 
2/8/2023 19:00,22.91,176, , , , 
2/8/2023 19:02,22.95,174, , , , 
2/8/2023 19:04,22.86,175, , , , 
2/8/2023 19:06,22.86,177, , , , 
2/8/2023 19:08,22.91,175, , , , 
2/8/2023 19:10,22.91,176, , , , 
2/8/2023 19:12,22.86,174, , , , 
2/8/2023 19:14,22.91,177, , , , 
2/8/2023 19:16,22.91,177, , , , 
