"Plot Title: CT_353_VarariSled"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739353, SEN S/N: 20739353)","Temp, °C (LGR S/N: 20739353, SEN S/N: 20739353)","Specific Conductance, μS/cm (LGR S/N: 20739353)","Salinity, ppt (LGR S/N: 20739353)"
1,02/27/23 06:00:00 AM,0.0,27.00,0.0,0.0123
2,02/27/23 06:02:00 AM,0.0,27.01,0.0,0.0123
3,02/27/23 06:04:00 AM,0.0,26.99,0.0,0.0123
4,02/27/23 06:06:00 AM,0.0,26.97,0.0,0.0123
5,02/27/23 06:08:00 AM,0.0,26.94,0.0,0.0123
6,02/27/23 06:10:00 AM,0.0,26.96,0.0,0.0123
7,02/27/23 06:12:00 AM,0.0,26.95,0.0,0.0123
8,02/27/23 06:14:00 AM,0.0,26.95,0.0,0.0123
9,02/27/23 06:16:00 AM,0.0,27.00,0.0,0.0123
10,02/27/23 06:18:00 AM,0.0,26.99,0.0,0.0123
11,02/27/23 06:20:00 AM,0.0,27.01,0.0,0.0123
12,02/27/23 06:22:00 AM,0.0,26.97,0.0,0.0123
13,02/27/23 06:24:00 AM,0.0,26.99,0.0,0.0123
14,02/27/23 06:26:00 AM,0.0,27.00,0.0,0.0123
15,02/27/23 06:28:00 AM,0.0,26.99,0.0,0.0123
16,02/27/23 06:30:00 AM,0.0,27.02,0.0,0.0123
17,02/27/23 06:32:00 AM,0.0,27.00,0.0,0.0123
18,02/27/23 06:34:00 AM,0.0,26.99,0.0,0.0123
19,02/27/23 06:36:00 AM,0.0,27.02,0.0,0.0123
20,02/27/23 06:38:00 AM,0.0,27.00,0.0,0.0123
21,02/27/23 06:40:00 AM,0.0,27.05,0.0,0.0123
22,02/27/23 06:42:00 AM,0.0,27.06,0.0,0.0123
23,02/27/23 06:44:00 AM,0.0,27.08,0.0,0.0123
24,02/27/23 06:46:00 AM,0.0,27.10,0.0,0.0123
25,02/27/23 06:48:00 AM,0.0,27.10,0.0,0.0123
26,02/27/23 06:50:00 AM,0.0,27.10,0.0,0.0123
27,02/27/23 06:52:00 AM,0.0,27.11,0.0,0.0123
28,02/27/23 06:54:00 AM,0.0,27.11,0.0,0.0123
29,02/27/23 06:56:00 AM,0.0,27.10,0.0,0.0123
30,02/27/23 06:58:00 AM,0.0,27.10,0.0,0.0123
31,02/27/23 07:00:00 AM,0.0,27.08,0.0,0.0123
32,02/27/23 07:02:00 AM,0.0,27.07,0.0,0.0123
33,02/27/23 07:04:00 AM,0.0,27.07,0.0,0.0123
34,02/27/23 07:06:00 AM,0.0,27.06,0.0,0.0123
35,02/27/23 07:08:00 AM,0.0,27.08,0.0,0.0123
36,02/27/23 07:10:00 AM,0.0,27.11,0.0,0.0123
37,02/27/23 07:12:00 AM,0.0,27.12,0.0,0.0123
38,02/27/23 07:14:00 AM,0.0,27.15,0.0,0.0123
39,02/27/23 07:16:00 AM,0.0,27.17,0.0,0.0123
40,02/27/23 07:18:00 AM,0.0,27.18,0.0,0.0123
41,02/27/23 07:20:00 AM,0.0,27.22,0.0,0.0123
42,02/27/23 07:22:00 AM,0.0,27.22,0.0,0.0123
43,02/27/23 07:24:00 AM,0.0,27.23,0.0,0.0123
44,02/27/23 07:26:00 AM,0.0,27.23,0.0,0.0123
45,02/27/23 07:28:00 AM,0.0,27.23,0.0,0.0123
46,02/27/23 07:30:00 AM,0.0,27.23,0.0,0.0123
47,02/27/23 07:32:00 AM,0.0,27.22,0.0,0.0123
48,02/27/23 07:34:00 AM,0.0,27.23,0.0,0.0123
49,02/27/23 07:36:00 AM,0.0,27.22,0.0,0.0123
50,02/27/23 07:38:00 AM,0.0,27.23,0.0,0.0123
51,02/27/23 07:40:00 AM,0.0,27.22,0.0,0.0123
52,02/27/23 07:42:00 AM,0.0,27.23,0.0,0.0123
53,02/27/23 07:44:00 AM,0.0,27.23,0.0,0.0123
54,02/27/23 07:46:00 AM,0.0,27.23,0.0,0.0123
55,02/27/23 07:48:00 AM,0.0,27.27,0.0,0.0123
56,02/27/23 07:50:00 AM,0.0,27.28,0.0,0.0123
57,02/27/23 07:52:00 AM,0.0,27.32,0.0,0.0123
58,02/27/23 07:54:00 AM,0.0,27.37,0.0,0.0123
59,02/27/23 07:56:00 AM,0.0,27.37,0.0,0.0123
60,02/27/23 07:58:00 AM,0.0,27.42,0.0,0.0123
61,02/27/23 08:00:00 AM,0.0,27.44,0.0,0.0123
62,02/27/23 08:02:00 AM,0.0,27.46,0.0,0.0123
63,02/27/23 08:04:00 AM,0.0,27.49,0.0,0.0123
64,02/27/23 08:06:00 AM,0.0,27.50,0.0,0.0123
65,02/27/23 08:08:00 AM,0.0,27.53,0.0,0.0123
66,02/27/23 08:10:00 AM,0.0,27.56,0.0,0.0123
67,02/27/23 08:12:00 AM,0.0,27.59,0.0,0.0123
68,02/27/23 08:14:00 AM,0.0,27.60,0.0,0.0123
69,02/27/23 08:16:00 AM,0.0,27.61,0.0,0.0123
70,02/27/23 08:18:00 AM,0.0,27.64,0.0,0.0123
71,02/27/23 08:20:00 AM,0.0,27.67,0.0,0.0123
72,02/27/23 08:22:00 AM,0.0,27.67,0.0,0.0123
73,02/27/23 08:24:00 AM,0.0,27.67,0.0,0.0123
74,02/27/23 08:26:00 AM,0.0,27.65,0.0,0.0123
75,02/27/23 08:28:00 AM,0.0,27.64,0.0,0.0123
76,02/27/23 08:30:00 AM,0.0,27.62,0.0,0.0123
77,02/27/23 08:32:00 AM,0.0,27.62,0.0,0.0123
78,02/27/23 08:34:00 AM,0.0,27.59,0.0,0.0123
79,02/27/23 08:36:00 AM,0.0,27.60,0.0,0.0123
80,02/27/23 08:38:00 AM,0.0,27.61,0.0,0.0123
81,02/27/23 08:40:00 AM,0.0,27.59,0.0,0.0123
82,02/27/23 08:42:00 AM,0.0,27.59,0.0,0.0123
83,02/27/23 08:44:00 AM,0.0,27.59,0.0,0.0123
84,02/27/23 08:46:00 AM,0.0,27.65,0.0,0.0123
85,02/27/23 08:48:00 AM,0.0,27.68,0.0,0.0123
86,02/27/23 08:50:00 AM,0.0,27.72,0.0,0.0123
87,02/27/23 08:52:00 AM,0.0,27.75,0.0,0.0123
88,02/27/23 08:54:00 AM,0.0,27.77,0.0,0.0123
89,02/27/23 08:56:00 AM,0.0,27.78,0.0,0.0123
