"Plot Title: CT_320_LowSGD"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739320, SEN S/N: 20739320)","Temp, °C (LGR S/N: 20739320, SEN S/N: 20739320)"
1,03/02/23 09:10:00 AM,25150.2,28.84
2,03/02/23 09:15:00 AM,25155.5,28.93
3,03/02/23 09:20:00 AM,25171.6,28.97
4,03/02/23 09:25:00 AM,25176.9,29.03
5,03/02/23 09:30:00 AM,25185.8,29.07
6,03/02/23 09:35:00 AM,25205.4,29.11
7,03/02/23 09:40:00 AM,25216.2,29.15
8,03/02/23 09:45:00 AM,25228.7,29.16
9,03/02/23 09:50:00 AM,25237.6,29.20
10,03/02/23 09:55:00 AM,25217.9,29.21
11,03/02/23 10:00:00 AM,25237.6,29.30
12,03/02/23 10:05:00 AM,25246.5,29.32
13,03/02/23 10:10:00 AM,25260.8,29.37
14,03/02/23 10:15:00 AM,25262.6,29.41
15,03/02/23 10:20:00 AM,25264.4,29.44
16,03/02/23 10:25:00 AM,25277.0,29.50
17,03/02/23 10:30:00 AM,25280.5,29.55
18,03/02/23 10:35:00 AM,25287.7,29.59
19,03/02/23 10:40:00 AM,25284.1,29.62
20,03/02/23 10:45:00 AM,25300.3,29.68
21,03/02/23 10:50:00 AM,25294.9,29.73
22,03/02/23 10:55:00 AM,25300.3,29.78
23,03/02/23 11:00:00 AM,25312.8,29.81
24,03/02/23 11:05:00 AM,25305.7,29.84
25,03/02/23 11:10:00 AM,25316.4,29.87
26,03/02/23 11:15:00 AM,25312.8,29.89
27,03/02/23 11:20:00 AM,25327.2,29.94
28,03/02/23 11:25:00 AM,25323.6,29.99
29,03/02/23 11:30:00 AM,25345.2,30.01
30,03/02/23 11:35:00 AM,25325.4,30.02
31,03/02/23 11:40:00 AM,25330.8,30.05
32,03/02/23 11:45:00 AM,25345.2,30.11
33,03/02/23 11:50:00 AM,25354.2,30.12
34,03/02/23 11:55:00 AM,25347.0,30.20
35,03/02/23 12:00:00 PM,25366.8,30.23
36,03/02/23 12:05:00 PM,25357.8,30.25
37,03/02/23 12:10:00 PM,25379.4,30.27
38,03/02/23 12:15:00 PM,25372.2,30.33
39,03/02/23 12:20:00 PM,25368.6,30.39
40,03/02/23 12:25:00 PM,25366.8,30.41
41,03/02/23 12:30:00 PM,25379.4,30.45
42,03/02/23 12:35:00 PM,25390.2,30.47
43,03/02/23 12:40:00 PM,25379.4,30.48
44,03/02/23 12:45:00 PM,25386.6,30.53
