"Plot Title: CT_323_HighSGD"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739323, SEN S/N: 20739323)","Temp, °C (LGR S/N: 20739323, SEN S/N: 20739323)"
1,03/02/23 08:40:00 AM,13203.8,28.30
2,03/02/23 08:45:00 AM,29854.8,28.88
3,03/02/23 08:50:00 AM,29735.0,29.08
4,03/02/23 08:55:00 AM,29784.6,29.16
5,03/02/23 09:00:00 AM,29555.8,29.08
6,03/02/23 09:05:00 AM,27337.5,29.30
7,03/02/23 09:10:00 AM,27327.8,29.42
8,03/02/23 09:15:00 AM,27126.6,29.37
9,03/02/23 09:20:00 AM,27080.5,29.51
10,03/02/23 09:25:00 AM,27040.3,29.36
11,03/02/23 09:30:00 AM,27040.3,29.66
12,03/02/23 09:35:00 AM,27009.7,29.56
13,03/02/23 09:40:00 AM,27049.8,29.71
14,03/02/23 09:45:00 AM,27355.1,29.70
15,03/02/23 09:50:00 AM,27384.4,29.65
16,03/02/23 09:55:00 AM,27476.4,29.77
17,03/02/23 10:00:00 AM,27318.1,29.79
18,03/02/23 10:05:00 AM,27439.2,29.81
19,03/02/23 10:10:00 AM,27431.3,29.99
20,03/02/23 10:15:00 AM,27449.0,30.01
21,03/02/23 10:20:00 AM,27445.0,30.01
22,03/02/23 10:25:00 AM,27462.7,30.14
23,03/02/23 10:30:00 AM,27458.8,30.21
24,03/02/23 10:35:00 AM,27458.8,30.23
25,03/02/23 10:40:00 AM,27454.9,30.25
26,03/02/23 10:45:00 AM,27441.1,30.25
27,03/02/23 10:50:00 AM,27435.2,30.29
28,03/02/23 10:55:00 AM,27454.9,30.55
29,03/02/23 11:00:00 AM,27417.6,30.43
30,03/02/23 11:05:00 AM,27435.2,30.55
31,03/02/23 11:10:00 AM,27468.6,30.75
32,03/02/23 11:15:00 AM,27445.0,30.64
33,03/02/23 11:20:00 AM,27347.3,30.70
34,03/02/23 11:25:00 AM,27353.1,30.69
35,03/02/23 11:30:00 AM,27333.6,30.55
36,03/02/23 11:35:00 AM,27325.9,30.48
37,03/02/23 11:40:00 AM,27329.8,30.64
38,03/02/23 11:45:00 AM,27366.8,30.80
39,03/02/23 11:50:00 AM,27343.4,30.70
40,03/02/23 11:55:00 AM,27362.9,30.93
41,03/02/23 12:00:00 PM,27366.8,30.70
42,03/02/23 12:05:00 PM,27353.1,30.83
43,03/02/23 12:10:00 PM,27380.5,30.97
44,03/02/23 12:15:00 PM,27386.3,30.93
45,03/02/23 12:20:00 PM,27372.6,31.01
46,03/02/23 12:25:00 PM,27372.6,31.07
47,03/02/23 12:30:00 PM,27386.3,31.11
48,03/02/23 12:35:00 PM,27386.3,31.16
49,03/02/23 12:40:00 PM,27386.3,31.13
50,03/02/23 12:45:00 PM,27390.2,31.14
51,03/02/23 12:50:00 PM,27441.1,31.29
52,03/02/23 12:55:00 PM,27372.6,31.12
53,03/02/23 01:00:00 PM,27353.1,31.19
54,03/02/23 01:05:00 PM,27366.8,31.24
55,03/02/23 01:10:00 PM,27372.6,31.40
56,03/02/23 01:15:00 PM,27359.0,31.29
57,03/02/23 01:20:00 PM,27349.2,31.11
58,03/02/23 01:25:00 PM,27368.7,31.16
59,03/02/23 01:30:00 PM,27400.0,31.24
60,03/02/23 01:35:00 PM,27396.1,31.32
61,03/02/23 01:40:00 PM,27372.6,31.17
62,03/02/23 01:45:00 PM,27382.4,31.31
63,03/02/23 01:50:00 PM,27362.9,31.34
64,03/02/23 01:55:00 PM,27372.6,31.26
65,03/02/23 02:00:00 PM,27368.7,31.34
66,03/02/23 02:05:00 PM,27396.1,31.45
67,03/02/23 02:10:00 PM,27372.6,31.37
68,03/02/23 02:15:00 PM,27368.7,31.46
69,03/02/23 02:20:00 PM,27372.6,31.47
70,03/02/23 02:25:00 PM,27392.2,31.40
71,03/02/23 02:30:00 PM,27775.9,31.47
72,03/02/23 02:35:00 PM,27781.9,31.51
73,03/02/23 02:40:00 PM,27805.9,31.51
74,03/02/23 02:45:00 PM,27795.9,31.53
75,03/02/23 02:50:00 PM,27816.0,31.47
76,03/02/23 02:55:00 PM,27775.9,31.45
77,03/02/23 03:00:00 PM,27785.9,31.48
78,03/02/23 03:05:00 PM,27809.9,31.48
79,03/02/23 03:10:00 PM,27785.9,31.58
80,03/02/23 03:15:00 PM,27777.9,31.52
81,03/02/23 03:20:00 PM,27775.9,31.50
82,03/02/23 03:25:00 PM,27775.9,31.52
83,03/02/23 03:30:00 PM,27785.9,31.51
84,03/02/23 03:35:00 PM,27771.9,31.51
85,03/02/23 03:40:00 PM,27785.9,31.47
86,03/02/23 03:45:00 PM,27785.9,31.51
87,03/02/23 03:50:00 PM,27791.9,31.50
88,03/02/23 03:55:00 PM,27795.9,31.51
89,03/02/23 04:00:00 PM,27785.9,31.47
90,03/02/23 04:05:00 PM,27791.9,31.50
91,03/02/23 04:10:00 PM,27785.9,31.50
92,03/02/23 04:15:00 PM,27781.9,31.50
93,03/02/23 04:20:00 PM,27791.9,31.48
94,03/02/23 04:25:00 PM,27795.9,31.52
95,03/02/23 04:30:00 PM,27795.9,31.50
96,03/02/23 04:35:00 PM,27799.9,31.47
97,03/02/23 04:40:00 PM,27805.9,31.48
98,03/02/23 04:45:00 PM,27785.9,31.47
99,03/02/23 04:50:00 PM,27791.9,31.45
100,03/02/23 04:55:00 PM,27777.9,31.45
101,03/02/23 05:00:00 PM,27757.9,31.43
102,03/02/23 05:05:00 PM,27781.9,31.45
103,03/02/23 05:10:00 PM,27767.9,31.42
104,03/02/23 05:15:00 PM,27757.9,31.40
105,03/02/23 05:20:00 PM,27771.9,31.36
106,03/02/23 05:25:00 PM,27761.9,31.36
