"Plot Title: CT_353_VarariSled"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739353, SEN S/N: 20739353)","Temp, °C (LGR S/N: 20739353, SEN S/N: 20739353)"
1,02/08/23 04:48:00 PM,0.0,25.04
2,02/08/23 04:50:00 PM,0.0,25.15
3,02/08/23 04:52:00 PM,0.0,25.06
4,02/08/23 04:54:00 PM,0.0,24.92
5,02/08/23 04:56:00 PM,0.0,24.79
6,02/08/23 04:58:00 PM,0.0,24.73
7,02/08/23 05:00:00 PM,0.0,24.64
8,02/08/23 05:02:00 PM,0.0,24.49
9,02/08/23 05:04:00 PM,0.0,24.40
10,02/08/23 05:06:00 PM,0.0,24.32
11,02/08/23 05:08:00 PM,0.0,24.22
12,02/08/23 05:10:00 PM,0.0,24.18
13,02/08/23 05:12:00 PM,0.0,24.19
14,02/08/23 05:14:00 PM,0.0,24.18
15,02/08/23 05:16:00 PM,0.0,24.40
16,02/08/23 05:18:00 PM,0.0,24.51
17,02/08/23 05:20:00 PM,0.0,24.57
18,02/08/23 05:22:00 PM,0.0,24.54
19,02/08/23 05:24:00 PM,0.0,24.61
20,02/08/23 05:26:00 PM,0.0,24.66
21,02/08/23 05:28:00 PM,0.0,24.73
22,02/08/23 05:30:00 PM,0.0,24.73
23,02/08/23 05:32:00 PM,0.0,24.82
24,02/08/23 05:34:00 PM,0.0,24.86
25,02/08/23 05:36:00 PM,0.0,24.78
26,02/08/23 05:38:00 PM,0.0,24.66
27,02/08/23 05:40:00 PM,0.0,24.54
28,02/08/23 05:42:00 PM,0.0,24.45
29,02/08/23 05:44:00 PM,0.0,24.34
30,02/08/23 05:46:00 PM,0.0,24.23
31,02/08/23 05:48:00 PM,0.0,24.13
32,02/08/23 05:50:00 PM,0.0,24.07
33,02/08/23 05:52:00 PM,0.0,24.00
34,02/08/23 05:54:00 PM,0.0,23.94
35,02/08/23 05:56:00 PM,0.0,23.89
36,02/08/23 05:58:00 PM,0.0,23.85
37,02/08/23 06:00:00 PM,0.0,23.80
38,02/08/23 06:02:00 PM,0.0,23.74
39,02/08/23 06:04:00 PM,0.0,23.69
40,02/08/23 06:06:00 PM,0.0,23.67
41,02/08/23 06:08:00 PM,0.0,23.62
42,02/08/23 06:10:00 PM,0.0,23.57
43,02/08/23 06:12:00 PM,0.0,23.55
44,02/08/23 06:14:00 PM,0.0,23.52
45,02/08/23 06:16:00 PM,0.0,23.48
46,02/08/23 06:18:00 PM,0.0,23.45
47,02/08/23 06:20:00 PM,0.0,23.41
48,02/08/23 06:22:00 PM,0.0,23.41
49,02/08/23 06:24:00 PM,0.0,23.37
50,02/08/23 06:26:00 PM,0.0,23.35
51,02/08/23 06:28:00 PM,0.0,23.32
52,02/08/23 06:30:00 PM,0.0,23.31
53,02/08/23 06:32:00 PM,0.0,23.29
54,02/08/23 06:34:00 PM,0.0,23.26
55,02/08/23 06:36:00 PM,0.0,23.25
56,02/08/23 06:38:00 PM,0.0,23.25
57,02/08/23 06:40:00 PM,0.0,23.23
58,02/08/23 06:42:00 PM,0.0,23.21
59,02/08/23 06:44:00 PM,0.0,23.20
60,02/08/23 06:46:00 PM,0.0,23.21
61,02/08/23 06:48:00 PM,0.0,23.20
62,02/08/23 06:50:00 PM,0.0,23.19
63,02/08/23 06:52:00 PM,0.0,23.19
64,02/08/23 06:54:00 PM,0.0,23.20
65,02/08/23 06:56:00 PM,0.0,23.18
66,02/08/23 06:58:00 PM,0.0,23.17
67,02/08/23 07:00:00 PM,0.0,23.17
68,02/08/23 07:02:00 PM,0.0,23.17
69,02/08/23 07:04:00 PM,0.0,23.14
70,02/08/23 07:06:00 PM,0.0,23.14
71,02/08/23 07:08:00 PM,0.0,23.15
72,02/08/23 07:10:00 PM,0.0,23.15
73,02/08/23 07:12:00 PM,0.0,23.13
74,02/08/23 07:14:00 PM,0.0,23.13
75,02/08/23 07:16:00 PM,0.0,23.15
76,02/08/23 07:18:00 PM,0.0,23.15
77,02/08/23 07:20:00 PM,0.0,23.13
78,02/08/23 07:22:00 PM,0.0,23.12
79,02/08/23 07:24:00 PM,0.0,23.13
80,02/08/23 07:26:00 PM,0.0,23.13
81,02/08/23 07:28:00 PM,0.0,23.12
82,02/08/23 07:30:00 PM,0.0,23.12
83,02/08/23 07:32:00 PM,0.0,23.13
84,02/08/23 07:34:00 PM,0.0,23.13
85,02/08/23 07:36:00 PM,0.0,23.10
86,02/08/23 07:38:00 PM,0.0,23.09
87,02/08/23 07:40:00 PM,0.0,23.10
88,02/08/23 07:42:00 PM,0.0,23.12
89,02/08/23 07:44:00 PM,0.0,23.12
90,02/08/23 07:46:00 PM,0.0,23.09
91,02/08/23 07:48:00 PM,0.0,23.10
92,02/08/23 07:50:00 PM,0.0,23.12
93,02/08/23 07:52:00 PM,0.0,23.10
94,02/08/23 07:54:00 PM,0.0,23.09
95,02/08/23 07:56:00 PM,0.0,23.10
96,02/08/23 07:58:00 PM,0.0,23.12
97,02/08/23 08:00:00 PM,0.0,23.12
98,02/08/23 08:02:00 PM,0.0,23.10
99,02/08/23 08:04:00 PM,0.0,23.10
100,02/08/23 08:06:00 PM,0.0,23.12
101,02/08/23 08:08:00 PM,0.0,23.12
102,02/08/23 08:10:00 PM,0.0,23.09
103,02/08/23 08:12:00 PM,0.0,23.09
104,02/08/23 08:14:00 PM,0.0,23.10
105,02/08/23 08:16:00 PM,0.0,23.09
106,02/08/23 08:18:00 PM,0.0,23.07
107,02/08/23 08:20:00 PM,0.0,23.07
108,02/08/23 08:22:00 PM,0.0,23.09
109,02/08/23 08:24:00 PM,0.0,23.09
110,02/08/23 08:26:00 PM,0.0,23.07
111,02/08/23 08:28:00 PM,0.0,23.07
112,02/08/23 08:30:00 PM,0.0,23.09
113,02/08/23 08:32:00 PM,0.0,23.09
114,02/08/23 08:34:00 PM,0.0,23.07
115,02/08/23 08:36:00 PM,0.0,23.06
116,02/08/23 08:38:00 PM,0.0,23.07
117,02/08/23 08:40:00 PM,0.0,23.08
118,02/08/23 08:42:00 PM,0.0,23.08
119,02/08/23 08:44:00 PM,0.0,23.07
120,02/08/23 08:46:00 PM,0.0,23.08
121,02/08/23 08:48:00 PM,0.0,23.09
122,02/08/23 08:50:00 PM,0.0,23.10
123,02/08/23 08:52:00 PM,0.0,23.10
124,02/08/23 08:54:00 PM,0.0,23.10
125,02/08/23 08:56:00 PM,0.0,23.10
126,02/08/23 08:58:00 PM,0.0,23.12
127,02/08/23 09:00:00 PM,0.0,23.13
128,02/08/23 09:02:00 PM,0.0,23.12
129,02/08/23 09:04:00 PM,0.0,23.13
130,02/08/23 09:06:00 PM,0.0,23.13
131,02/08/23 09:08:00 PM,0.0,23.14
132,02/08/23 09:10:00 PM,0.0,23.14
133,02/08/23 09:12:00 PM,0.0,23.14
134,02/08/23 09:14:00 PM,0.0,23.14
135,02/08/23 09:16:00 PM,0.0,23.15
136,02/08/23 09:18:00 PM,0.0,23.15
137,02/08/23 09:20:00 PM,0.0,23.15
138,02/08/23 09:22:00 PM,0.0,23.15
139,02/08/23 09:24:00 PM,0.0,23.17
140,02/08/23 09:26:00 PM,0.0,23.17
141,02/08/23 09:28:00 PM,0.0,23.17
142,02/08/23 09:30:00 PM,0.0,23.17
143,02/08/23 09:32:00 PM,0.0,23.15
144,02/08/23 09:34:00 PM,0.0,23.17
145,02/08/23 09:36:00 PM,0.0,23.17
146,02/08/23 09:38:00 PM,0.0,23.18
147,02/08/23 09:40:00 PM,0.0,23.17
148,02/08/23 09:42:00 PM,0.0,23.17
149,02/08/23 09:44:00 PM,0.0,23.18
150,02/08/23 09:46:00 PM,0.0,23.19
151,02/08/23 09:48:00 PM,0.0,23.19
152,02/08/23 09:50:00 PM,0.0,23.18
153,02/08/23 09:52:00 PM,0.0,23.18
154,02/08/23 09:54:00 PM,0.0,23.19
155,02/08/23 09:56:00 PM,0.0,23.20
156,02/08/23 09:58:00 PM,0.0,23.20
157,02/08/23 10:00:00 PM,0.0,23.20
158,02/08/23 10:02:00 PM,0.0,23.19
159,02/08/23 10:04:00 PM,0.0,23.19
160,02/08/23 10:06:00 PM,0.0,23.21
161,02/08/23 10:08:00 PM,0.0,23.20
162,02/08/23 10:10:00 PM,0.0,23.20
163,02/08/23 10:12:00 PM,0.0,23.20
164,02/08/23 10:14:00 PM,0.0,23.20
165,02/08/23 10:16:00 PM,0.0,23.21
166,02/08/23 10:18:00 PM,0.0,23.21
167,02/08/23 10:20:00 PM,0.0,23.20
168,02/08/23 10:22:00 PM,0.0,23.21
169,02/08/23 10:24:00 PM,0.0,23.21
170,02/08/23 10:26:00 PM,0.0,23.23
171,02/08/23 10:28:00 PM,0.0,23.21
172,02/08/23 10:30:00 PM,0.0,23.21
173,02/08/23 10:32:00 PM,0.0,23.21
174,02/08/23 10:34:00 PM,0.0,23.23
175,02/08/23 10:36:00 PM,0.0,23.24
176,02/08/23 10:38:00 PM,0.0,23.23
177,02/08/23 10:40:00 PM,0.0,23.21
178,02/08/23 10:42:00 PM,0.0,23.23
179,02/08/23 10:44:00 PM,0.0,23.23
180,02/08/23 10:46:00 PM,0.0,23.24
181,02/08/23 10:48:00 PM,0.0,23.24
182,02/08/23 10:50:00 PM,0.0,23.23
183,02/08/23 10:52:00 PM,0.0,23.23
184,02/08/23 10:54:00 PM,0.0,23.23
185,02/08/23 10:56:00 PM,0.0,23.24
186,02/08/23 10:58:00 PM,0.0,23.23
187,02/08/23 11:00:00 PM,0.0,23.21
188,02/08/23 11:02:00 PM,0.0,23.21
189,02/08/23 11:04:00 PM,0.0,23.21
190,02/08/23 11:06:00 PM,0.0,23.23
191,02/08/23 11:08:00 PM,0.0,23.23
192,02/08/23 11:10:00 PM,0.0,23.20
193,02/08/23 11:12:00 PM,0.0,23.20
194,02/08/23 11:14:00 PM,0.0,23.21
195,02/08/23 11:16:00 PM,0.0,23.21
196,02/08/23 11:18:00 PM,0.0,23.20
197,02/08/23 11:20:00 PM,0.0,23.19
198,02/08/23 11:22:00 PM,0.0,23.19
199,02/08/23 11:24:00 PM,0.0,23.20
200,02/08/23 11:26:00 PM,0.0,23.21
201,02/08/23 11:28:00 PM,0.0,23.20
202,02/08/23 11:30:00 PM,0.0,23.19
203,02/08/23 11:32:00 PM,0.0,23.19
204,02/08/23 11:34:00 PM,0.0,23.20
205,02/08/23 11:36:00 PM,0.0,23.20
206,02/08/23 11:38:00 PM,0.0,23.19
207,02/08/23 11:40:00 PM,0.0,23.18
208,02/08/23 11:42:00 PM,0.0,23.18
209,02/08/23 11:44:00 PM,0.0,23.19
210,02/08/23 11:46:00 PM,0.0,23.19
211,02/08/23 11:48:00 PM,0.0,23.17
212,02/08/23 11:50:00 PM,0.0,23.17
213,02/08/23 11:52:00 PM,0.0,23.18
214,02/08/23 11:54:00 PM,0.0,23.19
215,02/08/23 11:56:00 PM,0.0,23.19
216,02/08/23 11:58:00 PM,0.0,23.18
217,02/09/23 12:00:00 AM,0.0,23.17
218,02/09/23 12:02:00 AM,0.0,23.17
219,02/09/23 12:04:00 AM,0.0,23.18
220,02/09/23 12:06:00 AM,0.0,23.20
221,02/09/23 12:08:00 AM,0.0,23.18
222,02/09/23 12:10:00 AM,0.0,23.18
223,02/09/23 12:12:00 AM,0.0,23.18
224,02/09/23 12:14:00 AM,0.0,23.20
225,02/09/23 12:16:00 AM,0.0,23.20
226,02/09/23 12:18:00 AM,0.0,23.18
227,02/09/23 12:20:00 AM,0.0,23.18
228,02/09/23 12:22:00 AM,0.0,23.19
229,02/09/23 12:24:00 AM,0.0,23.20
230,02/09/23 12:26:00 AM,0.0,23.19
231,02/09/23 12:28:00 AM,0.0,23.18
232,02/09/23 12:30:00 AM,0.0,23.19
233,02/09/23 12:32:00 AM,0.0,23.20
234,02/09/23 12:34:00 AM,0.0,23.21
235,02/09/23 12:36:00 AM,0.0,23.20
236,02/09/23 12:38:00 AM,0.0,23.19
237,02/09/23 12:40:00 AM,0.0,23.18
238,02/09/23 12:42:00 AM,0.0,23.19
239,02/09/23 12:44:00 AM,0.0,23.20
240,02/09/23 12:46:00 AM,0.0,23.19
241,02/09/23 12:48:00 AM,0.0,23.18
242,02/09/23 12:50:00 AM,0.0,23.19
243,02/09/23 12:52:00 AM,0.0,23.20
244,02/09/23 12:54:00 AM,0.0,23.19
245,02/09/23 12:56:00 AM,0.0,23.18
246,02/09/23 12:58:00 AM,0.0,23.19
247,02/09/23 01:00:00 AM,0.0,23.19
248,02/09/23 01:02:00 AM,0.0,23.20
249,02/09/23 01:04:00 AM,0.0,23.19
250,02/09/23 01:06:00 AM,0.0,23.19
251,02/09/23 01:08:00 AM,0.0,23.19
252,02/09/23 01:10:00 AM,0.0,23.21
253,02/09/23 01:12:00 AM,0.0,23.19
254,02/09/23 01:14:00 AM,0.0,23.18
255,02/09/23 01:16:00 AM,0.0,23.18
256,02/09/23 01:18:00 AM,0.0,23.19
257,02/09/23 01:20:00 AM,0.0,23.20
258,02/09/23 01:22:00 AM,0.0,23.20
259,02/09/23 01:24:00 AM,0.0,23.19
260,02/09/23 01:26:00 AM,0.0,23.18
261,02/09/23 01:28:00 AM,0.0,23.19
262,02/09/23 01:30:00 AM,0.0,23.19
263,02/09/23 01:32:00 AM,0.0,23.18
264,02/09/23 01:34:00 AM,0.0,23.17
265,02/09/23 01:36:00 AM,0.0,23.17
266,02/09/23 01:38:00 AM,0.0,23.18
