"Plot Title: Depth_872_LowSGD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)","Water Level, meters (LGR S/N: 20810872)"
1,03/02/23 09:10:00 AM,106.936,28.060,0.546
2,03/02/23 09:15:00 AM,107.224,28.555,0.575
3,03/02/23 09:20:00 AM,106.984,28.655,0.551
4,03/02/23 09:25:00 AM,107.195,28.655,0.572
5,03/02/23 09:30:00 AM,106.874,28.754,0.540
6,03/02/23 09:35:00 AM,107.375,28.754,0.590
7,03/02/23 09:40:00 AM,107.135,28.853,0.566
8,03/02/23 09:45:00 AM,107.459,28.853,0.598
9,03/02/23 09:50:00 AM,107.265,28.853,0.579
10,03/02/23 09:55:00 AM,106.863,28.953,0.539
11,03/02/23 10:00:00 AM,107.543,28.953,0.606
12,03/02/23 10:05:00 AM,107.448,29.053,0.597
13,03/02/23 10:10:00 AM,107.400,29.053,0.592
14,03/02/23 10:15:00 AM,107.548,29.152,0.607
15,03/02/23 10:20:00 AM,107.337,29.152,0.586
16,03/02/23 10:25:00 AM,107.227,29.252,0.575
17,03/02/23 10:30:00 AM,107.453,29.252,0.597
18,03/02/23 10:35:00 AM,107.453,29.252,0.597
19,03/02/23 10:40:00 AM,107.861,29.352,0.638
20,03/02/23 10:45:00 AM,107.653,29.452,0.617
21,03/02/23 10:50:00 AM,107.265,29.452,0.579
22,03/02/23 10:55:00 AM,107.345,29.452,0.587
23,03/02/23 11:00:00 AM,107.510,29.552,0.603
24,03/02/23 11:05:00 AM,107.494,29.552,0.601
25,03/02/23 11:10:00 AM,107.999,29.652,0.652
26,03/02/23 11:15:00 AM,107.707,29.652,0.623
27,03/02/23 11:20:00 AM,107.578,29.652,0.610
28,03/02/23 11:25:00 AM,107.532,29.752,0.605
29,03/02/23 11:30:00 AM,108.293,29.752,0.681
30,03/02/23 11:35:00 AM,108.325,29.752,0.684
31,03/02/23 11:40:00 AM,107.583,29.853,0.610
32,03/02/23 11:45:00 AM,107.453,29.853,0.597
33,03/02/23 11:50:00 AM,108.474,29.853,0.699
34,03/02/23 11:55:00 AM,107.586,29.953,0.611
35,03/02/23 12:00:00 PM,107.780,29.953,0.630
36,03/02/23 12:05:00 PM,107.537,29.953,0.606
37,03/02/23 12:10:00 PM,108.123,30.054,0.664
38,03/02/23 12:15:00 PM,107.653,30.054,0.617
39,03/02/23 12:20:00 PM,108.026,30.054,0.654
40,03/02/23 12:25:00 PM,107.607,30.154,0.613
41,03/02/23 12:30:00 PM,107.769,30.154,0.629
42,03/02/23 12:35:00 PM,107.737,30.154,0.626
43,03/02/23 12:40:00 PM,108.145,30.255,0.666
44,03/02/23 12:45:00 PM,107.594,30.255,0.611
45,03/02/23 12:50:00 PM,107.756,30.255,0.627
46,03/02/23 12:55:00 PM,107.918,30.255,0.644
47,03/02/23 01:00:00 PM,107.548,30.356,0.607
48,03/02/23 01:05:00 PM,107.451,30.356,0.597
49,03/02/23 01:10:00 PM,107.678,30.356,0.620
50,03/02/23 01:15:00 PM,107.613,30.356,0.613
51,03/02/23 01:20:00 PM,107.143,30.356,0.566
52,03/02/23 01:25:00 PM,107.370,30.356,0.589
53,03/02/23 01:30:00 PM,107.502,30.457,0.602
54,03/02/23 01:35:00 PM,107.988,30.457,0.651
55,03/02/23 01:40:00 PM,107.680,30.457,0.620
56,03/02/23 01:45:00 PM,107.680,30.457,0.620
57,03/02/23 01:50:00 PM,107.489,30.558,0.601
58,03/02/23 01:55:00 PM,107.910,30.558,0.643
59,03/02/23 02:00:00 PM,107.553,30.558,0.607
60,03/02/23 02:05:00 PM,107.748,30.558,0.627
61,03/02/23 02:10:00 PM,107.329,30.659,0.585
62,03/02/23 02:15:00 PM,107.184,30.659,0.571
63,03/02/23 02:20:00 PM,106.714,30.659,0.524
64,03/02/23 02:25:00 PM,107.122,30.760,0.564
65,03/02/23 02:30:00 PM,106.620,30.760,0.514
66,03/02/23 02:35:00 PM,107.219,30.760,0.574
67,03/02/23 02:40:00 PM,106.733,30.760,0.526
