"Plot Title: Depth_870_HighSGD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810870, SEN S/N: 20810870)","Temp, °C (LGR S/N: 20810870, SEN S/N: 20810870)","Water Level, meters (LGR S/N: 20810870)"
1,03/02/23 08:45:00 AM,108.818,28.258,0.711
2,03/02/23 08:50:00 AM,108.803,28.357,0.709
3,03/02/23 08:55:00 AM,109.255,28.357,0.754
4,03/02/23 09:00:00 AM,109.167,28.456,0.745
5,03/02/23 09:05:00 AM,108.589,28.456,0.688
6,03/02/23 09:10:00 AM,108.737,28.555,0.703
7,03/02/23 09:15:00 AM,109.138,28.655,0.742
8,03/02/23 09:20:00 AM,108.885,28.655,0.717
9,03/02/23 09:25:00 AM,109.120,28.655,0.741
10,03/02/23 09:30:00 AM,108.942,28.754,0.723
11,03/02/23 09:35:00 AM,109.213,28.754,0.750
12,03/02/23 09:40:00 AM,109.108,28.853,0.739
13,03/02/23 09:45:00 AM,109.289,28.853,0.757
14,03/02/23 09:50:00 AM,109.252,28.853,0.754
15,03/02/23 09:55:00 AM,108.876,28.953,0.716
16,03/02/23 10:00:00 AM,109.346,28.953,0.763
17,03/02/23 10:05:00 AM,109.259,29.053,0.754
18,03/02/23 10:10:00 AM,109.042,29.053,0.733
19,03/02/23 10:15:00 AM,109.443,29.152,0.773
20,03/02/23 10:20:00 AM,109.407,29.152,0.769
21,03/02/23 10:25:00 AM,109.012,29.252,0.730
22,03/02/23 10:30:00 AM,109.428,29.252,0.771
23,03/02/23 10:35:00 AM,109.323,29.352,0.761
24,03/02/23 10:40:00 AM,109.612,29.352,0.790
25,03/02/23 10:45:00 AM,109.290,29.452,0.758
26,03/02/23 10:50:00 AM,109.037,29.452,0.732
27,03/02/23 10:55:00 AM,109.329,29.552,0.761
28,03/02/23 11:00:00 AM,109.257,29.552,0.754
29,03/02/23 11:05:00 AM,109.658,29.652,0.794
30,03/02/23 11:10:00 AM,109.748,29.652,0.803
31,03/02/23 11:15:00 AM,109.766,29.652,0.805
32,03/02/23 11:20:00 AM,109.896,29.752,0.818
33,03/02/23 11:25:00 AM,109.444,29.752,0.773
34,03/02/23 11:30:00 AM,109.339,29.853,0.762
35,03/02/23 11:35:00 AM,110.297,29.853,0.858
36,03/02/23 11:40:00 AM,109.411,29.853,0.770
37,03/02/23 11:45:00 AM,109.212,29.853,0.750
38,03/02/23 11:50:00 AM,110.282,29.953,0.856
39,03/02/23 11:55:00 AM,109.468,29.953,0.775
40,03/02/23 12:00:00 PM,109.454,30.054,0.774
41,03/02/23 12:05:00 PM,109.291,30.054,0.758
42,03/02/23 12:10:00 PM,110.123,30.054,0.840
43,03/02/23 12:15:00 PM,109.565,30.154,0.785
44,03/02/23 12:20:00 PM,109.782,30.154,0.807
45,03/02/23 12:25:00 PM,109.601,30.154,0.789
46,03/02/23 12:30:00 PM,109.858,30.255,0.814
47,03/02/23 12:35:00 PM,109.514,30.255,0.780
48,03/02/23 12:40:00 PM,109.786,30.255,0.807
49,03/02/23 12:45:00 PM,109.373,30.356,0.766
50,03/02/23 12:50:00 PM,109.716,30.356,0.800
51,03/02/23 12:55:00 PM,109.861,30.356,0.814
52,03/02/23 01:00:00 PM,109.499,30.356,0.778
53,03/02/23 01:05:00 PM,109.282,30.356,0.757
54,03/02/23 01:10:00 PM,109.774,30.457,0.806
55,03/02/23 01:15:00 PM,109.412,30.457,0.770
56,03/02/23 01:20:00 PM,108.942,30.457,0.723
57,03/02/23 01:25:00 PM,109.376,30.457,0.766
58,03/02/23 01:30:00 PM,109.340,30.457,0.763
59,03/02/23 01:35:00 PM,110.118,30.457,0.840
60,03/02/23 01:40:00 PM,109.560,30.558,0.784
61,03/02/23 01:45:00 PM,109.126,30.558,0.741
62,03/02/23 01:50:00 PM,109.560,30.558,0.784
63,03/02/23 01:55:00 PM,109.488,30.558,0.777
64,03/02/23 02:00:00 PM,109.126,30.558,0.741
65,03/02/23 02:05:00 PM,109.021,30.659,0.731
66,03/02/23 02:10:00 PM,109.021,30.659,0.731
67,03/02/23 02:15:00 PM,109.078,30.760,0.736
68,03/02/23 02:20:00 PM,108.554,30.760,0.684
69,03/02/23 02:25:00 PM,108.862,30.760,0.715
70,03/02/23 02:30:00 PM,108.681,30.760,0.697
71,03/02/23 02:35:00 PM,109.190,30.862,0.748
72,03/02/23 02:40:00 PM,108.557,30.862,0.685
73,03/02/23 02:45:00 PM,108.539,30.862,0.683
74,03/02/23 02:50:00 PM,108.341,30.862,0.663
75,03/02/23 02:55:00 PM,108.576,30.862,0.687
76,03/02/23 03:00:00 PM,108.413,30.862,0.670
77,03/02/23 03:05:00 PM,108.576,30.862,0.687
