Taxa,Identification_notes,C_only,Genus,Family,Taxon_Group,Identified,Morphology,Morph,Secondary_Morphology,Morph2,Symbiosis,Symb,Calcification,Calc,Energetic_Resource,ER,Feeding_Mode,FM,Life_Span,Teixido life span,Growth_rate,GR_unit,GR_Teixido,GR_cat,Max_size,MS_unit,MS_cat,Observation_notes
Acropora,,yes,Acropora,Acroporidae,Cnidaria,no,Branched,Br,Branched,Br,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,,
Acropora pulchra,"Brook, 1891",,Acropora,Acroporidae,Cnidaria,yes,Branched Globular,Br Glob,Branched,Br,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,166,mm yr-1,very high (>10 cm/yr),,500,"cm, diameter",> 100 cm,
Amansia rhodantha,"(Harvey) J.Agardh, 1841",,Amansia,Rhodomelaceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,,,,,,10,"cm, diameter",< 10cm,
Amphiroa fragilissima,"(Linnaeus) J.V.Lamouroux, 1816",,Amphiroa,Corallinaceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"3-11 months, based on A. rigida and A. cryptarthrodia",,,"moderate (> 1 cm/yr), based on A. rigida and A. cryptarthrodia",,5,"cm, height",< 10cm,
Avrainvillea erecta,"(Berkeley) A.Gepp and E.S. Gepp, 1911",,Avrainvillea,Dichotomosiphonaceae,Chlorophyta,yes,Branched Foliose,Br Fol,Foliose,Fol,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"5 years, based on H. tuna",,,"moderate (> 1 cm/yr, based on H. tuna",,6,"cm, height",< 10cm,
Bare Rock,,,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,Abiotic,Abiotic,,Abiotic,Abiotic,Abiotic,Abiotic,
Bare Rock - exposed,,,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,Abiotic,Abiotic,,Abiotic,Abiotic,Abiotic,Abiotic,
Caulerpa chemnitzia,"(Esper) J.V. Lamouroux, 1809; previously Caulerpa peltata",,Caulerpa,Caulerpaceae,Chlorophyta,yes,Peltate,Pelt,Stolonial,Stol,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"5 years, based on C. cylindracea",,,"very high (>10 cm/yr), based on C. cylindracea",,10,"cm, length",< 10cm,
Caulerpa racemosa,"(Forsskal) J.Agardh, 1873",,Caulerpa,Caulerpaceae,Chlorophyta,yes,Vesiculate,Ves,Stolonial,Stol,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"5 years, based on C. cylindracea",,,"very high (>10 cm/yr), based on C. cylindracea",,15,"cm, length",10-20 cm,
Caulerpa serrulata,"(Forsskal) J.Agardh, 1873",,Caulerpa,Caulerpaceae,Chlorophyta,yes,Branched Erect,Br Erec,Stolonial,Stol,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"5 years, based on C. cylindracea",,,"very high (>10 cm/yr), based on C. cylindracea",,20,"cm, length",10-20 cm,
