CowTagID,Turf,Crustose Corallines,Turbinaria ornata,Galaxaura rugosa,Pocillopora acuta,Porites rus,Valonia fastigiata,Dictyota bartayresiana,Lithophyllum kotschyanum,Lendenfeldia chondrodes,Amphiroa fragilissima,Dictyosphaeria sp.,Leptastrea transversa,Montipora setosa,Montipora verrilli,Halimeda opuntia,Stylocoeniella armata,Danafungia scruposa,Discosoma nummiforme,Amansia rhodantha,Lobophora variegata,Galaxaura divaricata,Psammocora stellata,Halimeda macroloba,Halimeda incrassata,Heteractis magnifica,Gracilaria verrucosa,Padina boryana,Montipora grisea,Porites lobata,Sargassum pacificum,Porites lutea,Halimeda distorta,Halimeda minima,Grey Sponge,Caulerpa serrulata,Hypnea pannosa,Valonia ventricosa,Porites irregularis,Pavona cactus,Verongida sp.,Pocillopora verrucosa,Dictyota friabilis,Avrainvillea erecta,Cyphastrea microphthalma,Goniastrea stelligera,Pavona chiriquiensis,Cyanobacteria,Leptoseris mycetoseroides,Valonia macrophysa,Caulerpa racemosa
V4,10.989010989010989,14.285714285714285,25.274725274725274,1.098901098901099,7.6923076923076925,8.791208791208792,2.197802197802198,1.098901098901099,2.197802197802198,2.197802197802198,1.098901098901099,1.098901098901099,1.098901098901099,1.098901098901099,0,5.4945054945054945,0,0,0,0,0,0,2.197802197802198,2.197802197802198,9.89010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V18,59.77653631284916,2.2346368715083798,6.70391061452514,1.675977653631285,3.910614525139665,14.52513966480447,0,0,0.5586592178770949,1.675977653631285,0,0.5586592178770949,0.5586592178770949,0,0,0.5586592178770949,0,0,0.5586592178770949,1.675977653631285,0,1.1173184357541899,0,0,0,0,0,0,0,0,0,0,1.1173184357541899,0,2.793296089385475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3,17.6056338028169,9.859154929577464,26.056338028169012,1.4084507042253522,9.15492957746479,11.267605633802818,4.929577464788732,1.4084507042253522,3.5211267605633805,0,0,0,0.7042253521126761,1.4084507042253522,1.4084507042253522,2.112676056338028,0.7042253521126761,0.7042253521126761,0.7042253521126761,4.225352112676056,2.112676056338028,0.7042253521126761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V14,0,4,8,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,4,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V16,2.0408163265306123,12.244897959183673,24.489795918367346,0,0,0,0,6.122448979591836,4.081632653061225,0,0,0,2.0408163265306123,0,0,0,0,0,0,0,2.0408163265306123,0,0,0,0,0,2.0408163265306123,2.0408163265306123,28.57142857142857,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V17,6.8181818181818175,2.272727272727273,22.727272727272727,0,0,0,0,20.454545454545457,0,4.545454545454546,0,0,0,0,0,0,0,0,0,0,2.272727272727273,0,0,0,0,0,0,38.63636363636363,0,0,2.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V20,4.545454545454546,2.272727272727273,15.909090909090908,4.545454545454546,0,0,0,2.272727272727273,0,0,2.272727272727273,0,0,0,0,0,0,0,0,0,2.272727272727273,0,0,0,0,0,0,38.63636363636363,0,0,2.272727272727273,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V9,18.88111888111888,0.6993006993006993,4.895104895104895,0.6993006993006993,0,60.13986013986013,0.6993006993006993,2.797202797202797,2.797202797202797,0,0,0,0,0,0,2.097902097902098,0,0,0,4.195804195804196,0,0,0,0,0,0,0,0,0,0,0.6993006993006993,0,0,1.3986013986013985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V8,41.9753086419753,6.790123456790123,3.0864197530864197,0,7.4074074074074066,11.11111111111111,0,0,1.2345679012345678,2.4691358024691357,0,0,0,0.6172839506172839,0,0,0,0,0,3.0864197530864197,0.6172839506172839,0.6172839506172839,0,0,0,16.666666666666664,0,0,0,0.6172839506172839,0,0,1.2345679012345678,0,0,1.8518518518518516,0.6172839506172839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V19,20.32520325203252,6.504065040650407,10.569105691056912,0.8130081300813009,2.4390243902439024,5.691056910569105,1.6260162601626018,13.008130081300814,0.8130081300813009,0,0,0,0.8130081300813009,0,0,0,0,0,1.6260162601626018,0,2.4390243902439024,1.6260162601626018,0,0.8130081300813009,0,0,0.8130081300813009,3.2520325203252036,23.577235772357724,0,0,0,2.4390243902439024,0,0,0,0,0.8130081300813009,0,0,0,0,0,0,0,0,0,0,0,0,0
V15,33.5,9,11,1.5,10,13,0,1,1,1.5,0.5,1,0.5,2.5,0,0,0,0,4,0.5,1,1,0,0,1.5,1.5,0,0,0,0,0,0,0,0,2,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0
