date,pre_post,AT,ET,SpeciesID,BW.g,Temp.c,Salinity,sw_dens,skel_dens,dry_weight.g
2/7/2023,pre,HIGH,HIGH,PR1HH,7.1194,29,36.6,1.023265973971582,2.93,10.94009007824204
2/7/2023,pre,HIGH,LOW,PR1HL,13.4448,29,36.6,1.023265973971582,2.93,20.66007291119316
2/7/2023,pre,HIGH,HIGH,PR2HH,10.0115,28.641,36.6,1.023386164144381,2.93,15.38523137111092
2/7/2023,pre,HIGH,LOW,PR2HL,11.5437,28.575,36.6,1.02340815790536,2.93,17.74005335239501
2/7/2023,pre,HIGH,HIGH,PR3HH,9.98874,28.421,36.6,1.023459352547311,2.93,15.350844074110547
2/7/2023,pre,HIGH,LOW,PR3HL,15.6313,28.427,36.6,1.0234573612078317,2.93,24.022389045028124
2/7/2023,pre,HIGH,HIGH,PR4HH,12.4036,28.345,36.7,1.0235597881415384,2.93,19.063041040543347
2/7/2023,pre,HIGH,LOW,PR4HL,10.4883,28.367,36.7,1.0235524949629955,2.93,16.11936280375237
2/7/2023,pre,HIGH,HIGH,PR5HH,7.9411,28.566,36.7,1.0234863635057827,2.93,12.20417339515346
2/7/2023,pre,HIGH,LOW,PR5HL,8.0118,28.628,36.7,1.023465700451377,2.93,12.312694298527786
2/7/2023,pre,HIGH,LOW,PR6HL,12.9538,28.468,36.7,1.0235189670463232,2.93,19.90821484397228
2/7/2023,pre,HIGH,HIGH,PR6HH,10.9657,28.479,36.7,1.0235153109720947,2.93,16.85274536161235
2/7/2023,pre,HIGH,HIGH,PR7HH,17.298,28.444,36.7,1.0235269408556031,2.93,26.584765914681217
2/7/2023,pre,HIGH,LOW,PR7HL,17.5496,28.49,36.7,1.0235116540107476,2.93,26.971225975849674
2/7/2023,pre,HIGH,HIGH,PR8HH,9.91,28.413,36.7,1.0235372341056912,2.93,15.23045743113649
2/7/2023,pre,HIGH,LOW,PR8HL,7.6785,28.409,36.7,1.0235385617533563,2.93,11.80092319133988
2/7/2023,pre,HIGH,HIGH,PR9HH,14.4042,28.312,36.7,1.0235707212425766,2.93,22.13788178258992
2/7/2023,pre,HIGH,LOW,PR9HL,13.8002,28.262,36.7,1.023587271295808,2.93,21.209775507260588
2/7/2023,pre,HIGH,HIGH,PR10HH,8.4964,28.211,36.7,1.0236041334077035,2.93,13.058385425740092
2/7/2023,pre,HIGH,LOW,PR10HL,9.0032,28.211,36.7,1.0236041334077035,2.93,13.837302347467539
2/7/2023,pre,HIGH,HIGH,PR11HH,15.7319,28.19,36.7,1.0236110710666937,2.93,24.17894182054001
2/7/2023,pre,HIGH,LOW,PR11HL,14.1654,28.169,36.7,1.0236180054788122,2.93,21.771408940748213
