date,pre_post,AT,ET,SpeciesID,BW.g,Temp.c,Salinity,PhotoID,Notes,DIcal,SWcal
2/7/2023,pre,,,Air 1,47.3868,NA,NA,,,,
2/7/2023,pre,,,Air 1,47.3806,NA,NA,,,,
2/7/2023,pre,,,Air 1,47.3787,NA,NA,,,,
2/7/2023,pre,,,SW 1,25.633,,,,,1,1
2/7/2023,pre,,,SW 1,25.505,,,,,1,1
2/7/2023,pre,,,SW 1,25.337,,,,,1,1
2/7/2023,pre,HIGH,HIGH,PR1HH,7.1194,29,36.6,11-Jun,HH: Yellow,1,1
2/7/2023,pre,HIGH,LOW,PR1HL,13.4448,29,36.6,16-Dec,HL: Light Purple,1,1
2/7/2023,pre,,,SW 2,25.5191,29,36.6,,,1,2
2/7/2023,pre,,,SW 2,25.6477,28.84,36.6,,,1,2
2/7/2023,pre,,,SW 2,25.4517,28.76,36.6,,,1,2
2/7/2023,pre,HIGH,HIGH,PR2HH,10.0115,28.641,36.6,18,,1,2
2/7/2023,pre,HIGH,LOW,PR2HL,11.5437,28.575,36.6,24,,1,2
2/7/2023,pre,HIGH,HIGH,PR3HH,9.98874,28.421,36.6,29,,1,2
2/7/2023,pre,HIGH,LOW,PR3HL,15.6313,28.427,36.6,34,,1,2
2/7/2023,pre,HIGH,HIGH,PR4HH,12.4036,28.345,36.7,39,,1,2
2/7/2023,pre,HIGH,LOW,PR4HL,10.4883,28.367,36.7,44,,1,2
2/7/2023,pre,HIGH,HIGH,PR5HH,7.9411,28.566,36.7,54,,1,2
2/7/2023,pre,HIGH,LOW,PR5HL,8.0118,28.628,36.7,49,,1,2
2/7/2023,pre,,,SW 3,25.6086,28.916,36.7,,,1,3
2/7/2023,pre,,,SW 3,25.4037,28.765,36.7,,,1,3
2/7/2023,pre,,,SW 3,25.7078,28.586,36.7,,,1,3
2/7/2023,pre,HIGH,LOW,PR6HL,12.9538,28.468,36.7,64,,1,3
2/7/2023,pre,HIGH,HIGH,PR6HH,10.9657,28.479,36.7,59,,1,3
2/7/2023,pre,HIGH,HIGH,PR7HH,17.298,28.444,36.7,69,,1,3
2/7/2023,pre,HIGH,LOW,PR7HL,17.5496,28.49,36.7,74,,1,3
2/7/2023,pre,HIGH,HIGH,PR8HH,9.91,28.413,36.7,79,,1,3
2/7/2023,pre,HIGH,LOW,PR8HL,7.6785,28.409,36.7,84,,1,3
2/7/2023,pre,HIGH,HIGH,PR9HH,14.4042,28.312,36.7,89,,1,3
2/7/2023,pre,HIGH,LOW,PR9HL,13.8002,28.262,36.7,94,,1,3
2/7/2023,pre,HIGH,HIGH,PR10HH,8.4964,28.211,36.7,99,,1,3
2/7/2023,pre,HIGH,LOW,PR10HL,9.0032,28.211,36.7,114,,1,3
2/7/2023,pre,HIGH,HIGH,PR11HH,15.7319,28.19,36.7,104,,1,3
2/7/2023,pre,HIGH,LOW,PR11HL,14.1654,28.169,36.7,109,,1,3
