Species,SpeciesID,weight_noWax,weight_wWax,Wax_weight,species_SA_cm2,notes
Pocillopora acuta,PA5HL,34.5944,38.2613,3.6669,144.00234,y = 38.6x + 2.46
Pocillopora acuta,PA10HL,34.955,38.0226,3.0676,120.86936,
Pocillopora acuta,PA4LH,16.6682,18.2769,1.6087,64.55582,
Pocillopora acuta,PA12HL,28.6418,30.9295,2.2877,90.76522,
Pocillopora acuta,PA10HH,44.5809,48.2125,3.6316,142.63976,
Pocillopora acuta,PA8HH,28.7318,31.9386,3.2068,126.24248,
Pocillopora acuta,PA5HH,29.7227,33.2814,3.5587,139.82582,
Pocillopora acuta,PA4HL,21.6009,24.5547,2.9538,116.47668,
Pocillopora acuta,PA6HH,23.3256,25.848,2.5224,99.82464,
Pocillopora acuta,PA11LL,23.7726,26.0023,2.2297,88.52642,
Pocillopora acuta,PA2LH,30.8721,34.0516,3.1795,125.1887,
Pocillopora acuta,PA6HL,26.9007,30.2917,3.391,133.3526,
Pocillopora acuta,PA3LH,34.4762,38.7097,4.2335,165.8731,
Pocillopora acuta,PA5LL,17.0141,18.9541,1.94,77.344,
Pocillopora acuta,PA7HH,33.8177,37.7123,3.8946,152.79156,
Pocillopora acuta,PA9LL,26.5613,28.9279,2.3666,93.81076,
Pocillopora acuta,PA1LL,17.9091,20.0169,2.1078,83.82108,
Pocillopora acuta,PA3HH,21.8849,24.6004,2.7155,107.2783,
Pocillopora acuta,PA7HL,37.9451,41.3584,3.4133,134.21338,
Pocillopora acuta,PA13LL,16.7915,18.465,1.6735,67.0571,
Pocillopora acuta,PA4HH,20.6412,23.4037,2.7625,109.0925,
Pocillopora acuta,PA8LL,29.2345,32.0772,2.8427,112.18822,
Pocillopora acuta,PA12LH,25.6454,27.7717,2.1263,84.53518,
Pocillopora acuta,PA8LH,26.2718,29.1341,2.8623,112.94478,
Pocillopora acuta,PA11LH,17.8082,19.7796,1.9714,78.55604,
Pocillopora acuta,PA11HH,20.2813,22.5245,2.2432,89.04752,
Pocillopora acuta,PA3HL,22.6639,25.6399,2.976,117.3336,
Pocillopora acuta,PA1LH,26.279,29.123,2.844,112.2384,
Pocillopora acuta,PA6LH,25.9977,29.9053,3.9076,153.29336,
Pocillopora acuta,PA12HH,29.2512,32.5508,3.2996,129.82456,
Pocillopora acuta,PA8HL,23.3274,25.7846,2.4572,97.30792,
Pocillopora acuta,PA13HL,28.6786,31.8091,3.1305,123.2973,
Pocillopora acuta,PA1HH,39.6761,43.447,3.7709,148.01674,pink with HL label
Pocillopora acuta,PA7LH,18.9805,21.1289,2.1484,85.38824,
Pocillopora acuta,PA10LL,27.8547,30.076,2.2213,88.20218,
Pocillopora acuta,PA2LL,31.4707,34.8608,3.3901,133.31786,
Pocillopora acuta,PA12LL,25.7915,28.1931,2.4016,95.16176,
Pocillopora acuta,PA3LL,33.9823,37.9946,4.0123,157.33478,
Porites rus,PR9HH,39.2343,42.0633,2.829,111.6594,
Porites rus,PR4HL,28.4632,30.5392,2.076,82.5936,
Porites rus,PR2LL,21.4154,22.3849,0.9695,39.8827,
Porites rus,PR13LL,19.3886,20.4556,1.067,43.6462,
Porites rus,PR1LH,28.358,30.1594,1.8014,71.99404,
Porites rus,PR11LL,23.4304,24.3841,0.9537,39.27282,
Porites rus,PR6HH,27.281,29.1472,1.8662,74.49532,
Porites rus,PR8LH,17.6901,18.8868,1.1967,48.65262,
Porites rus,PR5HL,25.4664,27.1678,1.7014,68.13404,
Porites rus,PR10HL,23.1403,24.4308,1.2905,52.2733,
Porites rus,PR11LH,30.6907,31.9473,1.2566,50.96476,
Porites rus,PR8HH,27.208,28.8824,1.6744,67.09184,
Porites rus,PR10LH,31.4629,32.7227,1.2598,51.08828,
Porites rus,PR10LL,25.4033,26.4836,1.0803,44.15958,
Porites rus,PR12LH,19.3928,20.2545,0.8617,35.72162,
Porites rus,PR5HH,23.3502,24.7295,1.3793,55.70098,
Porites rus,PR3HH,29.7865,31.4781,1.6916,67.75576,
Porites rus,PR12LL,28.9585,30.3414,1.3829,55.83994,
Porites rus,PR10HH,21.7953,23.0873,1.292,52.3312,
Porites rus,PR1LL,28.2558,30.1541,1.8983,75.73438,
Porites rus,PR6LL,15.9258,16.7622,0.8364,34.74504,
Porites rus,PR4LL,28.8686,30.592,1.7234,68.98324,
Porites rus,PR9LL,28.1138,29.8983,1.7845,71.3417,
Porites rus,PR9LH,26.8873,28.6445,1.7572,70.28792,
Porites rus,PR9HL,37.47,39.7317,2.2617,89.76162,
Porites rus,PR8LL,23.1373,24.5378,1.4005,56.5193,
Porites rus,PR11HH,39.1096,41.3938,2.2842,90.63012,
Porites rus,PR1HH,21.0447,22.5352,1.4905,59.9933,
Porites rus,PR4HH,34.6833,37.1342,2.4509,97.06474,
Porites rus,PR7HH,40.3851,43.2718,2.8867,113.88662,
Porites rus,PR4LH,25.3003,26.8023,1.502,60.4372,
Porites rus,PR6LH,18.7509,19.7967,1.0458,42.82788,
Porites rus,PR7LH,20.9413,22.7942,1.8529,73.98194,INCLUDING BROKEN PIECE
Porites rus,PR12HL,33.3815,35.8399,2.4584,97.35424,
Porites rus,PR3HL,29.326,31.6366,2.3106,91.64916,
Porites rus,PR11HL,38.7294,41.2767,2.5473,100.78578,INCLUDING BROKEN PIECE
Porites rus,PR2HL,31.5768,34.1314,2.5546,101.06756,INCLUDING BROKEN OFF SCREW
Porites rus,PR6HL,32.76,35.2904,2.5304,100.13344,
Montipora,ME13LH,24.9587,26.2982,1.3395,54.1647,
Montipora,ME11LH,14.7471,15.9952,1.2481,50.63666,
Montipora,ME10LH,15.7217,16.8119,1.0902,44.54172,
Montipora,ME3LH,12.2705,13.0306,0.7601,31.79986,
Montipora,ME4LH,8.9178,9.509,0.5912,25.28032,
Montipora,ME12LH,10.7032,11.4953,0.7921,33.03506,
Montipora,ME6LH,9.9009,10.7179,0.817,33.9962,
Montipora,ME1LH,6.3496,6.7281,0.3785,17.0701,
Montipora,ME5LH,13.7792,14.7791,0.9999,41.05614,
Montipora,ME8LL,15.5205,16.5693,1.0488,42.94368,
Montipora,ME4LL,11.8131,12.7963,0.9832,40.41152,
Montipora,ME13LL,17.8418,18.9283,1.0865,44.3989,
Montipora,ME3LL,13.0746,13.7851,0.7105,29.8853,
Montipora,ME12LL,9.1095,9.7754,0.6659,28.16374,
Montipora,ME9LL,15.4083,16.4392,1.0309,42.25274,
Montipora,ME11LL,10.5614,11.275,0.7136,30.00496,
Montipora,ME10LL,9.6219,10.4793,0.8574,35.55564,
Montipora,ME1LL,6.7882,7.3561,0.5679,24.38094,
Montipora,ME2LL,17.1883,18.2194,1.0311,42.26046,
Pocillopora acuta,PA1HL,33.7329,36.3602,2.6273,103.87378,blue puck labeled hh
Pocillopora acuta,PA5LH,13.7874,15.3757,1.5883,63.76838,
Pocillopora acuta,PA4LL,18.5469,20.4977,1.9508,77.76088,
Pocillopora acuta,PA13HH,24.0357,26.1978,2.1621,85.91706,
Pocillopora acuta,PA9HH,39.6971,42.5936,2.8965,114.2649,
Pocillopora acuta,PA2HH,21.2575,22.7143,1.4568,58.69248,
Pocillopora acuta,PA10LH,25.899,27.3183,1.4193,57.24498,
Pocillopora acuta,PA2HL,27.8604,29.7196,1.8592,74.22512,
Pocillopora acuta,PA7LL,15.8592,17.407,1.5478,62.20508,
Pocillopora acuta,PA6LL,27.2548,31.3007,4.0459,158.63174,
Pocillopora acuta,PA9HL,35.0713,38.0659,2.9946,118.05156,
Pocillopora acuta,PA13LH,14.1168,15.4806,1.3638,55.10268,
Pocillopora acuta,PA11HL,23.1926,25.304,2.1114,83.96004,
Pocillopora acuta,PA9LH,31.6892,34.0154,2.3262,92.25132,
Porites rus,PR12HH,33.3483,36.016,2.6677,105.43322,
Porites rus,PR3LH,14.64,15.204,0.564,24.2304,
Porites rus,PR5LH,13.6765,14.3347,0.6582,27.86652,
Porites rus,PR2LH,17.2516,17.9445,0.6929,29.20594,
Montipora,ME2LH,8.1697,8.8267,0.657,27.8202,setosa?
Montipora,ME7LH,12.0031,12.6735,0.6704,28.33744,
Montipora,ME6LL,12.2983,12.884,0.5857,25.06802,setosa?
Montipora,ME8LH,10.6652,11.4905,0.8253,34.31658,
Montipora,ME7LL,10.9056,11.5095,0.6039,25.77054,
Montipora,ME5LL,4.219,4.8888,0.6698,28.31428,no puck or screw
Porites rus,PR2HH,26.5594,28.2008,1.6414,65.81804,
Porites rus,PR8HL,23.0948,24.7749,1.6801,67.31186,
Porites rus,PR13HH,21.4875,22.4354,0.9479,39.04894,
Porites rus,PR13HL,19.8827,20.9464,1.0637,43.51882,
Porites rus,PR3LL,15.0769,15.8211,0.7442,31.18612,
Porites rus,PR7LL,19.6691,21.21,1.5409,61.93874,
Porites rus,PR5LL,14.0259,15.025,0.9991,41.02526,
Montipora,ME9LH,16.2694,17.3606,1.0912,44.58032,
