Dowel_ID,dowel_diam_cm,diam_height_cm,dowel_SA_cm2,dowel_weight_init,dowel_weight_wWax,wax_weight,notes
A2,2.6,8.5,77.59733854,50.372,52.2785,1.9065,
A,2.6,4,40.8407045,49.3882,50.372,0.9838,
B,2.2,7,55.2920307,48.7467,50.241,1.4943,farther line
C,2,4.5,34.55751919,26.2384,26.9877,0.7493,farther line
D,1.4,4.3,23.31061749,7.0912,7.5911,0.4999,
E,1,4.6,17.59291886,4.5226,4.9215,0.3989,
F,1,4,15.70796327,3.7738,4.0935,0.3197,
K,1.4,6,30.78760801,6.2972,6.9746,0.6774,farther line
L,1,2.3,10.36725576,3.7297,3.9236,0.1939,
G,0.6,4.9,11.12123799,1.8611,2.1335,0.2724,
H,0.5,4,7.853981634,1.2319,1.4039,0.172,
J,0.2,4.9,3.707079331,0.2204,0.3008,0.0804,
