Sample_ID,SLAB_ID,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Seep_DL_2023-03-10_0800,S-DL,0.72,118.41,11.5,0.42
Seep_NH_2023-03-10_0200,S-NH,0.14,2.83,0.53,0.32
Seep_NL_2023-03-09_1930,S-NL,1.1,199.23,19.03,0.43
Seep_DH_2023-03-09_1400,S-DH,0.11,10.14,1.54,2.79
Seep_NMid_2023-03-09_2230,S-NM,0.36,50.05,4.92,0.54
Seep_DMid_2023-03-09_1630,S-DM,0.31,46.05,4.41,0.37
LowSGD_DH_2023-03-09_1400,L-SGD-DH,0.07,1.35,0.84,1.52
LowSGD_NL_2023-03-09_1930,L-SGD-NL,0.1,1.76,0.73,0.33
LowSGD_DL_2023-03-10_0800,L-SGD-DL,0.07,1,0.38,0.34
LowSGD_NH_2023-03-10_0200,L-SGD-NH,0.1,0.97,0.44,1.01
HighSGD_DH_2023-03-09_1400,H-SGD-DH,0.08,1.53,0.87,3.22
HighSGD_DL_2023-03-10_0800,H-SGD-DL,0.12,6.43,0.91,0.3
HighSGD_NH_2023-03-10_0200,H-SGD-NH,0.07,2.85,0.73,0.39
HighSGD_NL_2023-03-09_1930,H-SGD-NL,0.23,11.44,1.61,0.36
