SampleID,AT,ET,P_R,Values
B4_H,LOW,HIGH,NC,26.249616563267256
A4_L,HIGH,LOW,NC,13.48333710315857
A4_H,HIGH,HIGH,NC,9.879010968560145
A3_L,HIGH,LOW,NC,-10.45100921909219
B3_L,LOW,LOW,NC,11.458678721986733
B4_L,LOW,LOW,NC,91.0203896761443
A3_H,HIGH,HIGH,NC,5.063226545494318
A5_L,HIGH,LOW,NC,-4.0052730458321655
A6_H,HIGH,HIGH,NC,-2.5262609956553947
A5_H,HIGH,HIGH,NC,-21.36748308444742
B6_H,LOW,HIGH,NC,-26.35585843063122
B6_L,LOW,LOW,NC,41.28790621419535
A6_L,HIGH,LOW,NC,-1.7795156099387748
B5_L,LOW,LOW,NC,3.881707081826968
B5_H,LOW,HIGH,NC,37.33082886687434
A7_H,HIGH,HIGH,NC,16.458268883232932
B8_L,LOW,LOW,NC,45.761233870084354
A8_L,HIGH,LOW,NC,18.20899895007743
B7_L,LOW,LOW,NC,104.18737824105321
B8_H,LOW,HIGH,NC,113.75334957972088
A7_L,HIGH,LOW,NC,25.168288211527926
A8_H,HIGH,HIGH,NC,0.707037793240005
B7_H,LOW,HIGH,NC,15.421040052459581
A9_L,HIGH,LOW,NC,-0.22647679750791672
B10_L,LOW,LOW,NC,15.089787992106977
A10_H,HIGH,HIGH,NC,15.015089009254776
B9_L,LOW,LOW,NC,62.47949378838513
A9_H,HIGH,HIGH,NC,37.8382961735382
B9_H,LOW,HIGH,NC,40.5167715037641
B3_H,LOW,HIGH,NC,67.55806800077002
B2_H,LOW,HIGH,NC,49.38778869259119
B1_L,LOW,LOW,NC,40.462818046783354
B1_H,LOW,HIGH,NC,44.26735513920568
A2_H,HIGH,HIGH,NC,17.177122921768106
A1_L,HIGH,LOW,NC,9.489459159437445
A1_H,HIGH,HIGH,NC,9.909764871574112
A2_L,HIGH,LOW,NC,5.276915259893552
A1_H,HIGH,HIGH,NP,0.02150880579858944
A1_L,HIGH,LOW,NP,0.04422929175726565
A10_H,HIGH,HIGH,NP,0.02629770695949427
A2_H,HIGH,HIGH,NP,0.03709018544298269
A2_L,HIGH,LOW,NP,0.02957905215721145
A3_H,HIGH,HIGH,NP,0.01764683232469872
A3_L,HIGH,LOW,NP,0.01810034625619816
A4_H,HIGH,HIGH,NP,0.07264230035997525
A4_L,HIGH,LOW,NP,0.04599811190546688
A5_H,HIGH,HIGH,NP,0.02819914376219759
A5_L,HIGH,LOW,NP,0.05918023365996205
A6_H,HIGH,HIGH,NP,0.03737593662735799
A6_L,HIGH,LOW,NP,0.04431713675191372
A7_H,HIGH,HIGH,NP,0.08482993821035265
A7_L,HIGH,LOW,NP,0.05957207489880117
A8_H,HIGH,HIGH,NP,0.03151956009607663
A8_L,HIGH,LOW,NP,0.11178925123879242
A9_H,HIGH,HIGH,NP,0.05390923939510145
A9_L,HIGH,LOW,NP,0.06068564345006715
B1_H,LOW,HIGH,NP,0.08344839744920717
B1_L,LOW,LOW,NP,0.06971444705269263
B10_L,LOW,LOW,NP,0.08600014133834243
B2_H,LOW,HIGH,NP,0.13667554445314395
B3_H,LOW,HIGH,NP,0.05850897151471972
B3_L,LOW,LOW,NP,0.04182021567423472
B4_H,LOW,HIGH,NP,0.08650540866288071
B4_L,LOW,LOW,NP,0.16618005962799995
B5_H,LOW,HIGH,NP,0.07253195310669977
B5_L,LOW,LOW,NP,0.06970944421504036
B6_H,LOW,HIGH,NP,0.06337409128224
B6_L,LOW,LOW,NP,0.11896474505090476
B7_H,LOW,HIGH,NP,0.05372132671613017
B7_L,LOW,LOW,NP,0.06908006881384905
B8_H,LOW,HIGH,NP,0.10022446363672764
B8_L,LOW,LOW,NP,0.1577273018586139
B9_H,LOW,HIGH,NP,0.11722113745719284
B9_L,LOW,LOW,NP,0.086710212169434
A1_H,HIGH,HIGH,R,0.03043264558179564
A1_L,HIGH,LOW,R,0.04676709470158038
A10_H,HIGH,HIGH,R,0.0275995053891097
A2_H,HIGH,HIGH,R,0.04398415749123325
A2_L,HIGH,LOW,R,0.02956647806662559
A3_H,HIGH,HIGH,R,0.02008042254351477
A3_L,HIGH,LOW,R,0.05452996957449912
A4_H,HIGH,HIGH,R,0.02344845805904001
A4_L,HIGH,LOW,R,0.02963578709580042
A5_H,HIGH,HIGH,R,0.04785406741698347
A5_L,HIGH,LOW,R,0.02851489138011669
A6_H,HIGH,HIGH,R,0.0416926767427372
A6_L,HIGH,LOW,R,0.04635579226407056
A7_H,HIGH,HIGH,R,0.03478316548105236
A7_L,HIGH,LOW,R,0.02272978365131796
A8_H,HIGH,HIGH,R,0.01635783574255576
A8_L,HIGH,LOW,R,0.02643759806478802
A9_H,HIGH,HIGH,R,0.03665785922633226
A9_L,HIGH,LOW,R,0.04894757830367854
B1_H,LOW,HIGH,R,0.06835741597825207
B1_L,LOW,LOW,R,0.06473506521479676
B10_L,LOW,LOW,R,0.03136600239370636
B2_H,LOW,HIGH,R,0.06437824029226866
B3_H,LOW,HIGH,R,0.07576185288529082
B3_L,LOW,LOW,R,0.03211893483830139
B4_H,LOW,HIGH,R,0.02022316990699
B4_L,LOW,LOW,R,0.00696189006813911
B5_H,LOW,HIGH,R,0.06591350864916483
B5_L,LOW,LOW,R,0.0351381453869341
B6_H,LOW,HIGH,R,0.05235853380870325
B6_L,LOW,LOW,R,0.06318364961480008
B7_H,LOW,HIGH,R,0.04148990518039081
B7_L,LOW,LOW,R,0.0432194903927539
B8_H,LOW,HIGH,R,0.07662561486588122
B8_L,LOW,LOW,R,0.04586834041409134
B9_H,LOW,HIGH,R,0.01677824003183102
B9_L,LOW,LOW,R,0.04676972479624844
A1_H,HIGH,HIGH,GP,0.05194145138038509
A1_L,HIGH,LOW,GP,0.09099638645884604
A10_H,HIGH,HIGH,GP,0.05389721234860398
A2_H,HIGH,HIGH,GP,0.08107434293421595
A2_L,HIGH,LOW,GP,0.05914553022383705
A3_H,HIGH,HIGH,GP,0.0377272548682135
A3_L,HIGH,LOW,GP,0.07263031583069728
A4_H,HIGH,HIGH,GP,0.09609075841901528
A4_L,HIGH,LOW,GP,0.0756338990012673
A5_H,HIGH,HIGH,GP,0.07605321117918105
A5_L,HIGH,LOW,GP,0.08769512504007876
A6_H,HIGH,HIGH,GP,0.07906861337009519
A6_L,HIGH,LOW,GP,0.09067292901598428
A7_H,HIGH,HIGH,GP,0.119613103691405
A7_L,HIGH,LOW,GP,0.08230185855011915
A8_H,HIGH,HIGH,GP,0.04787739583863239
A8_L,HIGH,LOW,GP,0.13822684930358045
A9_H,HIGH,HIGH,GP,0.09056709862143372
A9_L,HIGH,LOW,GP,0.10963322175374568
B1_H,LOW,HIGH,GP,0.15180581342745925
B1_L,LOW,LOW,GP,0.13444951226748938
B10_L,LOW,LOW,GP,0.1173661437320488
B2_H,LOW,HIGH,GP,0.2010537847454126
B3_H,LOW,HIGH,GP,0.13427082440001054
B3_L,LOW,LOW,GP,0.07393915051253612
B4_H,LOW,HIGH,GP,0.10672857856987072
B4_L,LOW,LOW,GP,0.17314194969613905
B5_H,LOW,HIGH,GP,0.1384454617558646
B5_L,LOW,LOW,GP,0.10484758960197446
B6_H,LOW,HIGH,GP,0.11573262509094326
B6_L,LOW,LOW,GP,0.18214839466570484
B7_H,LOW,HIGH,GP,0.09521123189652098
B7_L,LOW,LOW,GP,0.11229955920660296
B8_H,LOW,HIGH,GP,0.1768500785026089
B8_L,LOW,LOW,GP,0.2035956422727052
B9_H,LOW,HIGH,GP,0.13399937748902385
B9_L,LOW,LOW,GP,0.13347993696568244
