datetime,Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit...10,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit...28,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
2023-03-28T16:39:14Z,03/28/2023,16:39:14,1,default,213212023,OXY_1,0.000,min,172.02,μmol/L,Humid,21.333,deg,27374,µV,29.873,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271223.34,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:15Z,03/28/2023,16:39:15,1,default,213212023,OXY_1,0.024,min,172.165,μmol/L,Humid,21.323,deg,27365,µV,29.875,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271182.75,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:16Z,03/28/2023,16:39:16,1,default,213212023,OXY_1,0.041,min,172.033,μmol/L,Humid,21.331,deg,27364,µV,29.877,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271151.45,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:17Z,03/28/2023,16:39:17,1,default,213212023,OXY_1,0.057,min,172.058,μmol/L,Humid,21.333,deg,27357,µV,29.866,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271129.84,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:18Z,03/28/2023,16:39:18,1,default,213212023,OXY_1,0.075,min,172.06,μmol/L,Humid,21.329,deg,27363,µV,29.877,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271096.68,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:19Z,03/28/2023,16:39:19,1,default,213212023,OXY_1,0.091,min,171.949,μmol/L,Humid,21.34,deg,27358,µV,29.867,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271088.84,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:20Z,03/28/2023,16:39:20,1,default,213212023,OXY_1,0.108,min,171.967,μmol/L,Humid,21.337,deg,27356,µV,29.872,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271079.14,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:21Z,03/28/2023,16:39:21,1,default,213212023,OXY_1,0.124,min,171.855,μmol/L,Humid,21.343,deg,27356,µV,29.876,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271070.93,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:22Z,03/28/2023,16:39:22,1,default,213212023,OXY_1,0.141,min,171.97,μmol/L,Humid,21.34,deg,27360,µV,29.863,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271071.01,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:23Z,03/28/2023,16:39:23,1,default,213212023,OXY_1,0.158,min,171.919,μmol/L,Humid,21.34,deg,27358,µV,29.872,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271067.08,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:24Z,03/28/2023,16:39:24,1,default,213212023,OXY_1,0.175,min,171.587,μmol/L,Humid,21.357,deg,27355,µV,29.887,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271066.33,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:25Z,03/28/2023,16:39:25,1,default,213212023,OXY_1,0.191,min,171.787,μmol/L,Humid,21.343,deg,27342,µV,29.889,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271054.61,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:26Z,03/28/2023,16:39:26,1,default,213212023,OXY_1,0.208,min,171.725,μmol/L,Humid,21.345,deg,27353,µV,29.895,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271059.52,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:27Z,03/28/2023,16:39:27,1,default,213212023,OXY_1,0.225,min,171.804,μmol/L,Humid,21.348,deg,27360,µV,29.871,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271058.2,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:28Z,03/28/2023,16:39:28,1,default,213212023,OXY_1,0.242,min,171.861,μmol/L,Humid,21.345,deg,27356,µV,29.869,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271056.36,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:29Z,03/28/2023,16:39:29,1,default,213212023,OXY_1,0.258,min,171.831,μmol/L,Humid,21.345,deg,27355,µV,29.875,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271049.17,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:30Z,03/28/2023,16:39:30,1,default,213212023,OXY_1,0.274,min,171.941,μmol/L,Humid,21.338,deg,27354,µV,29.874,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271044.5,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:31Z,03/28/2023,16:39:31,1,default,213212023,OXY_1,0.291,min,171.955,μmol/L,Humid,21.339,deg,27357,µV,29.868,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271043.51,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:32Z,03/28/2023,16:39:32,1,default,213212023,OXY_1,0.308,min,171.817,μmol/L,Humid,21.347,deg,27354,µV,29.872,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271044.76,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:33Z,03/28/2023,16:39:33,1,default,213212023,OXY_1,0.324,min,171.757,μmol/L,Humid,21.353,deg,27346,µV,29.866,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271035.63,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:34Z,03/28/2023,16:39:34,1,default,213212023,OXY_1,0.341,min,171.763,μmol/L,Humid,21.351,deg,27354,µV,29.87,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271035.85,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:35Z,03/28/2023,16:39:35,1,default,213212023,OXY_1,0.358,min,171.689,μmol/L,Humid,21.355,deg,27350,µV,29.873,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271028.87,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:36Z,03/28/2023,16:39:36,1,default,213212023,OXY_1,0.375,min,171.815,μmol/L,Humid,21.349,deg,27357,µV,29.866,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271036.18,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:37Z,03/28/2023,16:39:37,1,default,213212023,OXY_1,0.391,min,171.733,μmol/L,Humid,21.353,deg,27361,µV,29.87,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271030.83,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:38Z,03/28/2023,16:39:38,1,default,213212023,OXY_1,0.408,min,171.759,μmol/L,Humid,21.349,deg,27366,µV,29.877,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271031.95,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:39Z,03/28/2023,16:39:39,1,default,213212023,OXY_1,0.425,min,171.581,μmol/L,Humid,21.357,deg,27363,µV,29.888,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271029.14,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:40Z,03/28/2023,16:39:40,1,default,213212023,OXY_1,0.441,min,171.715,μmol/L,Humid,21.352,deg,27356,µV,29.877,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271016.57,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:41Z,03/28/2023,16:39:41,1,default,213212023,OXY_1,0.458,min,171.863,μmol/L,Humid,21.348,deg,27355,µV,29.86,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271018.15,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T16:39:42Z,03/28/2023,16:39:42,1,default,213212023,OXY_1,0.474,min,171.668,μmol/L,Humid,21.359,deg,27361,µV,29.866,°C,1012,hPa,36,pmil,0,55.52,deg,20,°C,100,%a.s.,21.75,deg,20,°C,977,hPa,0.861,-0.02617,3.5e-4,0,0,13.56,Humid,24.85,0,70,271020.31,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,170328-006,6/25/2022 5:22:30 PM,0000-00,0,no battery,V,NA,µV,NA,µV
