"PreSens Measurement Studio 2","4.0.0.2293",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"03/27/2023","17:38:57","6","default","647960078","OXY_6","0.000","min","161.563","μmol/L","Humid","22.071","deg","63538","µV","29.719","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369215.01","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:38:58","6","default","647960078","OXY_6","0.016","min","161.599","μmol/L","Humid","22.068","deg","63516","µV","29.720","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369170.08","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:38:59","6","default","647960078","OXY_6","0.033","min","161.658","μmol/L","Humid","22.064","deg","63499","µV","29.719","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369145.54","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:00","6","default","647960078","OXY_6","0.049","min","161.574","μmol/L","Humid","22.068","deg","63493","µV","29.725","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369140.06","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:01","6","default","647960078","OXY_6","0.066","min","161.583","μmol/L","Humid","22.068","deg","63490","µV","29.723","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369132.11","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:02","6","default","647960078","OXY_6","0.083","min","161.621","μmol/L","Humid","22.066","deg","63481","µV","29.721","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369107.89","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:03","6","default","647960078","OXY_6","0.099","min","161.535","μmol/L","Humid","22.067","deg","63473","µV","29.736","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369109.67","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:04","6","default","647960078","OXY_6","0.116","min","161.610","μmol/L","Humid","22.066","deg","63466","µV","29.723","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369103.05","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:05","6","default","647960078","OXY_6","0.132","min","161.549","μmol/L","Humid","22.069","deg","63465","µV","29.727","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369111.78","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
"03/27/2023","17:39:06","6","default","647960078","OXY_6","0.149","min","161.515","μmol/L","Humid","22.068","deg","63461","µV","29.737","°C","1012.000","hPa","36.0","pmil","0","55.390","deg","20.000","°C","100.000","%a.s.","21.720","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","56.77","1","44.00","369100.74","SABD0000000001","AAV1.0.0.11","4.0.0.2293","PSt7-10","170328-019","6/25/2022 5:37:05 PM","0000-00","0","no battery","V","","µV","","µV"
