BottleID,run_block,chamber_channel,Group,Day_Night,Tide,SGD,Date,Time,TA,Salinity
RUN1L_CH1-3_INITIAL_20230325,RUN1,1,INITIAL,NA,NA,NA,3/25/2023,NA,2332.18,36.52
RUN1L_CH1-3_INITIAL_20230325,RUN1,2,INITIAL,NA,NA,NA,3/25/2023,NA,2332.18,36.52
RUN1L_CH1-3_INITIAL_20230325,RUN1,3,INITIAL,NA,NA,NA,3/25/2023,NA,2332.18,36.52
RUN1L_CH4-5_INITIAL_20230325,RUN1,4,INITIAL,NA,NA,NA,3/25/2023,NA,2352.8676,36.6
RUN1L_CH4-5_INITIAL_20230325,RUN1,5,INITIAL,NA,NA,NA,3/25/2023,NA,2352.8676,36.6
RUN1_CH6-7_INITIAL_20230325,RUN1,6,INITIAL,NA,NA,NA,3/25/2023,NA,2374.9539,36.59
RUN1_CH6-7_INITIAL_20230325,RUN1,7,INITIAL,NA,NA,NA,3/25/2023,NA,2374.9539,36.59
RUN1_CH8-9_INITIAL_20230325,RUN1,8,INITIAL,NA,NA,NA,3/25/2023,NA,2373.4787,36.49
RUN1_CH8-9_INITIAL_20230325,RUN1,9,INITIAL,NA,NA,NA,3/25/2023,NA,2373.4787,36.49
RUN1_CH1_A1_HIGH_20230325,RUN1,1,A1,NA,NA,high,3/25/2023,NA,2361.5638,36.5
RUN1_CH2_B2_HIGH_20230325,RUN1,2,B2,NA,NA,high,3/25/2023,NA,2354.6736,36.5
RUN1_CH3_BLANK_2023032,RUN1,3,BLANK,NA,NA,NA,3/25/2023,NA,2362.4645,36.6
RUN1_CH4_A2_HIGH_20230325,RUN1,4,A2,NA,NA,high,3/25/2023,NA,2385.1989,36.6
RUN1_CH5_B2_LOW_20230325,RUN1,5,B2,NA,NA,low,3/25/2023,NA,2364.6086,36.53
RUN1_CH6_A1_LOW_20230325,RUN1,6,A1,NA,NA,low,3/25/2023,NA,2388.9561,36.54
RUN1_CH7_B1_LOW_20230325,RUN1,7,B1,NA,NA,low,3/25/2023,NA,2372.283,36.55
RUN1_CH8_A1_LOW_20230325,RUN1,8,A1,NA,NA,low,3/25/2023,NA,2361.422,36.5
RUN1_CH9_B1_HIGH_20230325,RUN1,9,B1,NA,NA,high,3/25/2023,NA,2363.1198,36.58
RUN2_CH1-3_INITIAL_20230326,RUN2,1,INITIAL,NA,NA,NA,3/26/2023,NA,2354.4454,36.37
RUN2_CH1-3_INITIAL_20230326,RUN2,2,INITIAL,NA,NA,NA,3/26/2023,NA,2354.4454,36.37
RUN2_CH1-3_INITIAL_20230326,RUN2,3,INITIAL,NA,NA,NA,3/26/2023,NA,2354.4454,36.37
RUN2_CH4-5_INITIAL_20230326,RUN2,4,INITIAL,NA,NA,NA,3/26/2023,NA,2348.1159,36.43
RUN2_CH4-5_INITIAL_20230326,RUN2,5,INITIAL,NA,NA,NA,3/26/2023,NA,2348.1159,36.43
RUN2_CH6-7_INITIAL_20230326,RUN2,6,INITIAL,NA,NA,NA,3/26/2023,NA,2341.4957,36.37
RUN2_CH6-7_INITIAL_20230326,RUN2,7,INITIAL,NA,NA,NA,3/26/2023,NA,2341.4957,36.37
RUN2_CH8-9_INITIAL_20230326,RUN2,8,INITIAL,NA,NA,NA,3/26/2023,NA,2353.4005,36.31
RUN2_CH8-9_INITIAL_20230326,RUN2,9,INITIAL,NA,NA,NA,3/26/2023,NA,2353.4005,36.31
RUN2_CH1_B4_HIGH_20230326,RUN2,1,B4,NA,NA,high,3/26/2023,NA,2319.2309,36.45
RUN2_CH2_A4_LOW_20230326,RUN2,2,A4,NA,NA,low,3/26/2023,NA,2315.539,36.29
RUN2_CH3_A4_HIGH_20230326,RUN2,3,A4,NA,NA,high,3/26/2023,NA,2325.6678,36.46
RUN2_CH4_A3_LOW_20230326,RUN2,4,A3,NA,NA,low,3/26/2023,NA,2359.5134,36.36
RUN2_CH5_B3_LOW_20230326,RUN2,5,B3,NA,NA,low,3/26/2023,NA,2318.8443,36.44
RUN2_CH6_B3_HIGH_20230326,RUN2,6,B3,NA,NA,high,3/26/2023,NA,2288.8689,36.51
RUN2_CH7_B4_LOW_20230326,RUN2,7,B4,NA,NA,low,3/26/2023,NA,2223.7285,36.46
RUN2_CH8_BLANK_20230326,RUN2,8,BLANK,NA,NA,NA,3/26/2023,NA,2342.5307,36.48
RUN2_CH9_A3_HIGH_20230326,RUN2,9,A3,NA,NA,high,3/26/2023,NA,2330.4139,36.41
RUN3_CH1-3_INITIAL_20230326,RUN3,1,INITIAL,NA,NA,NA,3/26/2023,NA,2349.6333,36.61
RUN3_CH1-3_INITIAL_20230326,RUN3,2,INITIAL,NA,NA,NA,3/26/2023,NA,2349.6333,36.61
RUN3_CH1-3_INITIAL_20230326,RUN3,3,INITIAL,NA,NA,NA,3/26/2023,NA,2349.6333,36.61
RUN3_CH4-5_INITIAL_20230326,RUN3,4,INITIAL,NA,NA,NA,3/26/2023,NA,2339.0537,36.64
RUN3_CH4-5_INITIAL_20230326,RUN3,5,INITIAL,NA,NA,NA,3/26/2023,NA,2339.0537,36.64
RUN3_CH6-7_INITIAL_20230326,RUN3,6,INITIAL,NA,NA,NA,3/26/2023,NA,2364.579746,36.66
RUN3_CH6-7_INITIAL_20230326,RUN3,7,INITIAL,NA,NA,NA,3/26/2023,NA,2364.579746,36.66
RUN3_CH8-9_INITIAL_20230326,RUN3,8,INITIAL,NA,NA,NA,3/26/2023,NA,2334.041405,36.55
RUN3_CH8-9_INITIAL_20230326,RUN3,9,INITIAL,NA,NA,NA,3/26/2023,NA,2334.041405,36.55
RUN3_CH1_BLANK_20230326,RUN3,1,BLANK,NA,NA,NA,3/26/2023,NA,2352.2182,36.37
RUN3_CH2_A5_LOW_20230327,RUN3,2,A5,NA,NA,low,3/26/2023,NA,2360.736567,36.63
RUN3_CH3_A6_HIGH_20230326,RUN3,3,A6,NA,NA,high,3/26/2023,NA,2356.4487,36.66
RUN3_CH4_A5_HIGH_20230326,RUN3,4,A5,NA,NA,high,3/26/2023,NA,2382.896549,36.63
RUN3_CH5_B6_HIGH_20230326,RUN3,5,B6,NA,NA,high,3/26/2023,NA,2369.856003,36.63
RUN3_CH6_B6_LOW_20230326,RUN3,6,B6,NA,NA,low,3/26/2023,NA,2315.2002,36.71
RUN3_CH7_A6_LOW_20230326,RUN3,7,A6,NA,NA,low,3/26/2023,NA,2370.5494,36.72
RUN3_CH8_B5_LOW_20230326,RUN3,8,B5,NA,NA,low,3/26/2023,NA,2331.798199,36.56
RUN3_CH9_B5_HIGH_20230326,RUN3,9,B5,NA,NA,high,3/26/2023,NA,2293.440746,36.52
RUN4_CH1-3_INITIAL_20230327,RUN4,1,INITIAL,NA,NA,NA,3/27/2023,NA,2373.174902,36.42
RUN4_CH1-3_INITIAL_20230327,RUN4,2,INITIAL,NA,NA,NA,3/27/2023,NA,2373.174902,36.42
RUN4_CH1-3_INITIAL_20230327,RUN4,3,INITIAL,NA,NA,NA,3/27/2023,NA,2373.174902,36.42
RUN4_CH4-5_INITIAL_20230327,RUN4,4,INITIAL,NA,NA,NA,3/27/2023,NA,2455.787008,36.4
RUN4_CH4-5_INITIAL_20230327,RUN4,5,INITIAL,NA,NA,NA,3/27/2023,NA,2455.787008,36.4
