SampleID,AT,ET,SpeciesID,preVol,postVol,Respo,notes
A1_H,HIGH,HIGH,DB1HH,820,840,yes,
A4_L,HIGH,LOW,LC10HL,800,815,yes,LC1BHL
A1_H,HIGH,HIGH,GS5HH,375,412,yes,
A1_H,HIGH,HIGH,TO13HH,810,830,yes,
A1_H,HIGH,HIGH,PR9HH,375,412,yes,
A1_H,HIGH,HIGH,PA5HH,375,400,yes,
A1_H,HIGH,HIGH,LK13HH,375,418,yes,
A1_H,HIGH,HIGH,DN3HH,175,187,yes,
A1_L,HIGH,LOW,DB8HL,875,890,yes,
A1_L,HIGH,LOW,LC11HL,880,905,yes,LC11BHL
A1_L,HIGH,LOW,GS5HL,400,437,yes,
A1_L,HIGH,LOW,TO1HL,880,895,yes,
A1_L,HIGH,LOW,PR11HL,400,437,yes,
A1_L,HIGH,LOW,PA3HL,400,425,yes,
A1_L,HIGH,LOW,LK10HL,875,900,yes,
A1_L,HIGH,LOW,DN13HL,181,187,yes,
A10_H,HIGH,HIGH,DB11HH,800,810,yes,
A4_H,HIGH,HIGH,LC12HH,860,880,yes,
A10_H,HIGH,HIGH,TO9HH,800,810,yes,
A10_H,HIGH,HIGH,PA6HH,412,437,yes,
A10_H,HIGH,HIGH,DN5HH,268,281,yes,
A10_H,HIGH,HIGH,GS10HH,412,450,yes,
A10_H,HIGH,HIGH,LK7HH,381,406,yes,
A10_H,HIGH,HIGH,PR6HH,400,425,yes,
A2_H,HIGH,HIGH,DB12HH,890,905,yes,
A1_H,HIGH,HIGH,LC1HH,815,845,yes,LC1BHH
A2_H,HIGH,HIGH,GS11HH,885,910,yes,
A2_H,HIGH,HIGH,TO5HH,890,910,yes,
A2_H,HIGH,HIGH,PR11HH,350,380,yes,
A2_H,HIGH,HIGH,PA11HH,890,910,yes,
A2_H,HIGH,HIGH,LK11HH,895,920,yes,
A2_H,HIGH,HIGH,DN11HH,181,187,yes,
A2_L,HIGH,LOW,DB9HL,835,855,yes,
A6_L,HIGH,LOW,LC1HL,900,930,yes,LC10BHL
A2_L,HIGH,LOW,GS2HL,381,418,yes,
A2_L,HIGH,LOW,TO5HL,830,845,yes,
A2_L,HIGH,LOW,PR2HL,375,400,yes,
A2_L,HIGH,LOW,PA13HL,381,400,yes,
A2_L,HIGH,LOW,LK2HL,381,412,yes,
A2_L,HIGH,LOW,DN10HL,181,187,yes,
A3_H,HIGH,HIGH,TO10LH,860,880,yes,
A3_H,HIGH,HIGH,GS12HH,850,870,yes,
A3_H,HIGH,HIGH,DB10HH,350,375,yes,
A3_H,HIGH,HIGH,PR4HH,350,375,yes,
A3_H,HIGH,HIGH,LC10HH,850,865,yes,"could be LC7 or LC10; from photos, 7 is too small for what I would have used. So 10"
A3_H,HIGH,HIGH,PA10HH,350,375,yes,
A3_H,HIGH,HIGH,LK2HH,381,418,yes,
A3_H,HIGH,HIGH,DN6HH,250,262,yes,
A3_L,HIGH,LOW,PR12HL,393,418,yes,
A3_L,HIGH,LOW,PA4HL,412,431,yes,
A3_L,HIGH,LOW,LK12HL,381,406,yes,
A3_L,HIGH,LOW,DN12HL,175,187,yes,
A3_L,HIGH,LOW,GS4HL,418,450,yes,
A3_L,HIGH,LOW,TO8HL,850,865,yes,
A3_L,HIGH,LOW,DB7HL,850,870,yes,
A7_H,HIGH,HIGH,LC2HH,910,930,yes,"likely the real lc2hh? OG 15 mL, now 20 mL"
A4_H,HIGH,HIGH,TO8HH,860,880,yes,
A4_H,HIGH,HIGH,DB9HH,860,870,yes,
A9_L,HIGH,LOW,LC2HL,854,880,yes,
A4_H,HIGH,HIGH,GS13HH,350,387,yes,
A4_H,HIGH,HIGH,PA8HH,343,368,yes,
A4_H,HIGH,HIGH,DN13HH,250,262,yes,
A4_H,HIGH,HIGH,PR7HH,350,387,yes,
A4_H,HIGH,HIGH,LK8HH,381,406,yes,
A4_L,HIGH,LOW,DB1HL,800,810,yes,
A4_L,HIGH,LOW,TO3HL,800,815,yes,
A8_H,HIGH,HIGH,LC3HH,865,890,yes,LC3BHH
A4_L,HIGH,LOW,GS12HL,350,387,yes,
A4_L,HIGH,LOW,PA8HL,356,375,yes,
A4_L,HIGH,LOW,DN6HL,212,225,yes,
A4_L,HIGH,LOW,PR9HL,393,431,yes,
A4_L,HIGH,LOW,LK13HL,381,425,yes,
A5_L,HIGH,LOW,LC3HL,810,840,yes,LC9BHL
A5_H,HIGH,HIGH,TO10HH,800,810,yes,
A5_H,HIGH,HIGH,DB4HH,800,810,yes,
