SampleID,AT,ET,light_dark,P_R,mmol.gram.hr,mmol.gram.hr_uncorr,Temp.C
A1_H,HIGH,HIGH,LIGHT,NP,0.021508805798589447,0.020332748466393102,29.985425531914892
A1_L,HIGH,LOW,LIGHT,NP,0.04422929175726565,0.042473623901072635,30.06729255319149
A10_H,HIGH,HIGH,LIGHT,NP,0.026297706959494273,0.02509947583806375,30.012
A2_H,HIGH,HIGH,LIGHT,NP,0.03709018544298269,0.0354629247267823,29.98939361702128
A2_L,HIGH,LOW,LIGHT,NP,0.029579052157211454,0.028408861422947584,29.877675531914893
A3_H,HIGH,HIGH,LIGHT,NP,0.017646832324698724,0.017473143768113392,29.86403448275862
A3_L,HIGH,LOW,LIGHT,NP,0.01810034625619816,0.01790495980262529,30.00488304093567
A4_H,HIGH,HIGH,LIGHT,NP,0.07264230035997525,0.0724127248329384,30.168808695652174
A4_L,HIGH,LOW,LIGHT,NP,0.04599811190546688,0.045797803093196275,30.33924561403509
A5_H,HIGH,HIGH,LIGHT,NP,0.02819914376219759,0.017103665441571467,29.795181818181817
A5_L,HIGH,LOW,LIGHT,NP,0.059180233659962056,0.049041005847677004,29.939506172839508
A6_H,HIGH,HIGH,LIGHT,NP,0.03737593662735799,0.02453424327445705,29.75069523809524
A6_L,HIGH,LOW,LIGHT,NP,0.044317136751913726,0.032991675156240505,29.506801801801803
A7_H,HIGH,HIGH,LIGHT,NP,0.08482993821035265,0.08447423863595092,29.987348837209304
A7_L,HIGH,LOW,LIGHT,NP,0.059572074898801175,0.059159273218962624,29.741308139534883
A8_H,HIGH,HIGH,LIGHT,NP,0.03151956009607663,0.03133976489802212,29.785
A8_L,HIGH,LOW,LIGHT,NP,0.11178925123879242,0.1113770005798838,30.00275
A9_H,HIGH,HIGH,LIGHT,NP,0.053909239395101456,0.05244449557097088,29.918033333333337
A9_L,HIGH,LOW,LIGHT,NP,0.06068564345006715,0.05876706769785359,29.93518320610687
B1_H,LOW,HIGH,LIGHT,NP,0.08344839744920717,0.08078964196499655,29.963041666666665
