SpeciesID,FullSp,Sp,SpRep,AT,ET,Weight.g,Volume.ml,SA.cm2,AFDW.g
TO1HH,Turbinaria ornata,TO,1,HIGH,HIGH,,,,
PR1HH,Porites rus,PR,1,HIGH,HIGH,,,,
PA1HH,Pocillopora acuta,PA,1,HIGH,HIGH,,,,
DN1HH,Discosoma nummiforme,DN,1,HIGH,HIGH,,,,
DB1HH,Dictyota bartayresiana,DB,1,HIGH,HIGH,,,,
GS1HH,Grey sponge,GS,1,HIGH,HIGH,,,,
LC1HH,Lendenfeldia chondrodes,LC,1,HIGH,HIGH,,,,
LK1HH,Lithophyllum kotschyanum,LK,1,HIGH,HIGH,,,,
TO1HL,Turbinaria ornata,TO,1,HIGH,LOW,,,,
PR1HL,Porites rus,PR,1,HIGH,LOW,,,,
PA1HL,Pocillopora acuta,PA,1,HIGH,LOW,,,,
DN1HL,Discosoma nummiforme,DN,1,HIGH,LOW,,,,
DB1HL,Dictyota bartayresiana,DB,1,HIGH,LOW,,,,
GS1HL,Grey sponge,GS,1,HIGH,LOW,,,,
LC1HL,Lendenfeldia chondrodes,LC,1,HIGH,LOW,,,,
LK1HL,Lithophyllum kotschyanum,LK,1,HIGH,LOW,,,,
TO2HH,Turbinaria ornata,TO,2,HIGH,HIGH,,,,
PR2HH,Porites rus,PR,2,HIGH,HIGH,,,,
PA2HH,Pocillopora acuta,PA,2,HIGH,HIGH,,,,
DN2HH,Discosoma nummiforme,DN,2,HIGH,HIGH,,,,
DB2HH,Dictyota bartayresiana,DB,2,HIGH,HIGH,,,,
GS2HH,Grey sponge,GS,2,HIGH,HIGH,,,,
LC2HH,Lendenfeldia chondrodes,LC,2,HIGH,HIGH,,,,
LK2HH,Lithophyllum kotschyanum,LK,2,HIGH,HIGH,,,,
TO2HL,Turbinaria ornata,TO,2,HIGH,LOW,,,,
PR2HL,Porites rus,PR,2,HIGH,LOW,,,,
PA2HL,Pocillopora acuta,PA,2,HIGH,LOW,,,,
DN2HL,Discosoma nummiforme,DN,2,HIGH,LOW,,,,
DB2HL,Dictyota bartayresiana,DB,2,HIGH,LOW,,,,
GS2HL,Grey sponge,GS,2,HIGH,LOW,,,,
LC2HL,Lendenfeldia chondrodes,LC,2,HIGH,LOW,,,,
LK2HL,Lithophyllum kotschyanum,LK,2,HIGH,LOW,,,,
TO3HH,Turbinaria ornata,TO,3,HIGH,HIGH,,,,
PR3HH,Porites rus,PR,3,HIGH,HIGH,,,,
PA3HH,Pocillopora acuta,PA,3,HIGH,HIGH,,,,
DN3HH,Discosoma nummiforme,DN,3,HIGH,HIGH,,,,
DB3HH,Dictyota bartayresiana,DB,3,HIGH,HIGH,,,,
GS3HH,Grey sponge,GS,3,HIGH,HIGH,,,,
LC3HH,Lendenfeldia chondrodes,LC,3,HIGH,HIGH,,,,
LK3HH,Lithophyllum kotschyanum,LK,3,HIGH,HIGH,,,,
TO3HL,Turbinaria ornata,TO,3,HIGH,LOW,,,,
PR3HL,Porites rus,PR,3,HIGH,LOW,,,,
PA3HL,Pocillopora acuta,PA,3,HIGH,LOW,,,,
DN3HL,Discosoma nummiforme,DN,3,HIGH,LOW,,,,
DB3HL,Dictyota bartayresiana,DB,3,HIGH,LOW,,,,
GS3HL,Grey sponge,GS,3,HIGH,LOW,,,,
LC3HL,Lendenfeldia chondrodes,LC,3,HIGH,LOW,,,,
LK3HL,Lithophyllum kotschyanum,LK,3,HIGH,LOW,,,,
TO4HH,Turbinaria ornata,TO,4,HIGH,HIGH,,,,
PR4HH,Porites rus,PR,4,HIGH,HIGH,,,,
PA4HH,Pocillopora acuta,PA,4,HIGH,HIGH,,,,
DN4HH,Discosoma nummiforme,DN,4,HIGH,HIGH,,,,
DB4HH,Dictyota bartayresiana,DB,4,HIGH,HIGH,,,,
GS4HH,Grey sponge,GS,4,HIGH,HIGH,,,,
LC4HH,Lendenfeldia chondrodes,LC,4,HIGH,HIGH,,,,
