SpeciesID,DaysInSitu,Sp,SpRep,AT,ET,delWeight.g,pWeight,delWeight.g_norm,delWeight.mg_norm_day,delTopLength.cm,pLength,delVolume.ml,pVolume
PR1HH,58,PR,1,HIGH,HIGH,5.193221445554755,47.469640637449416,0.08656335700077768,1.4924716724272014,NA,NA,NA,NA
PR2HH,58,PR,2,HIGH,HIGH,4.513059307066966,29.333710999895686,0.06856872837700675,1.1822194547759786,NA,NA,NA,NA
PR2HL,58,PR,2,HIGH,LOW,6.880090231684864,38.78280462305381,0.06807416971068525,1.1736925812187113,NA,NA,NA,NA
PR3HH,58,PR,3,HIGH,HIGH,7.872585217109773,51.28438005820812,0.11619064146147536,2.003286921749575,NA,NA,NA,NA
PR3HL,58,PR,3,HIGH,LOW,0.3247401467924398,1.3518228606810894,0.0035432964883959635,0.06109131876544765,NA,NA,NA,NA
PR4HH,58,PR,4,HIGH,HIGH,7.208699637480574,37.81505596168568,0.07426692367877949,1.2804642013582672,NA,NA,NA,NA
PR4HL,58,PR,4,HIGH,LOW,5.675663494701041,35.2102224126367,0.06871795750156237,1.1847923707165926,NA,NA,NA,NA
PR5HH,58,PR,5,HIGH,HIGH,5.633704117046124,46.16211139120155,0.10114192096882539,1.7438262236004378,NA,NA,NA,NA
PR5HL,58,PR,5,HIGH,LOW,7.4294207960312715,60.33952127699295,0.10904124863330095,1.8800215281603612,NA,NA,NA,NA
PR6HL,58,PR,6,HIGH,LOW,10.931752870636952,54.910764005276036,0.10917184979000973,1.8822732722415472,NA,NA,NA,NA
PR6HH,58,PR,6,HIGH,HIGH,4.063507770693768,24.111844589723276,0.054547155052072645,0.9404681905529767,NA,NA,NA,NA
PR7HH,58,PR,7,HIGH,HIGH,6.411596570347424,24.11755887158921,0.056298067063079264,0.9706563286737805,NA,NA,NA,NA
PR8HH,58,PR,8,HIGH,HIGH,6.774863128844526,44.48233521203564,0.10097894362182533,1.7410162693418159,NA,NA,NA,NA
PR8HL,58,PR,8,HIGH,LOW,5.611654476028566,47.55267350732936,0.08336799006933646,1.4373791391264907,NA,NA,NA,NA
PR9HH,58,PR,9,HIGH,HIGH,10.556193780952338,47.683847463916514,0.09453923074055867,1.629986736906184,NA,NA,NA,NA
PR9HL,58,PR,9,HIGH,LOW,9.75083801504054,45.97332023482571,0.10863037025223632,1.8729374181420055,NA,NA,NA,NA
PR10HH,58,PR,10,HIGH,HIGH,3.46241251561203,26.514859247354433,0.06616344581458154,1.1407490657686472,NA,NA,NA,NA
PR10HL,58,PR,10,HIGH,LOW,3.406129894625776,24.61556312852523,0.06516003188292639,1.1234488255676964,NA,NA,NA,NA
PR11HH,58,PR,11,HIGH,HIGH,7.932674001542928,32.80819342889572,0.08752800946906976,1.5091036115356855,NA,NA,NA,NA
PR11HL,58,PR,11,HIGH,LOW,10.236279116196929,47.01707245523423,0.10156471593707893,1.7511157920186022,NA,NA,NA,NA
PR12HH,58,PR,12,HIGH,HIGH,5.9806603339776,28.22807201204399,0.05672462942872844,0.9780108522194559,NA,NA,NA,NA
PR12HL,58,PR,12,HIGH,LOW,7.760612055947735,40.47125394419723,0.07971519325658272,1.3743998837341846,NA,NA,NA,NA
PA13HL,50,PA,13,HIGH,LOW,5.089485748594015,26.422474690365778,0.041278160580921194,0.8255632116184239,NA,NA,NA,NA
PA13HH,50,PA,13,HIGH,HIGH,2.758120747644673,17.99548525186833,0.03210213137698931,0.6420426275397861,NA,NA,NA,NA
PA12HL,50,PA,12,HIGH,LOW,5.1656732881818215,27.335918812558496,0.05691247471423329,1.1382494942846657,NA,NA,NA,NA
PA12HH,50,PA,12,HIGH,HIGH,6.287920667889008,33.89382421749787,0.04843398404653949,0.9686796809307897,NA,NA,NA,NA
PA11HL,50,PA,11,HIGH,LOW,2.6916590981696586,18.511193365562892,0.03205881152712241,0.6411762305424481,NA,NA,NA,NA
