BottleID,run_block,Day_Night,Tide,DT,Location,Date_ta,Time_ta,TA,Salinity
DH_HIGH,WS,Day,High,DH,HighSGD,NA,NA,2331.0267,36.17
NH_0200_HIGH_SGD_20230310,WS,Night,High,NH,HighSGD,3/10/2023,2:00,2360.958,36.3
NL_1930_HIGH_SGD_20230309,WS,Night,Low,NL,HighSGD,3/9/2023,19:30,2338.5707,36.12
DL_0800_HIGH_SGD_20230310,WS,Day,Low,DL,HighSGD,3/10/2023,8:00,2380.6158,36.29
DH_LOW,WS,Day,High,DH,LowSGD,NA,NA,2324.1461,36.23
NH_0200_LOW_SGD_20230310,WS,Night,High,NH,LowSGD,3/10/2023,2:00,2357.2402,36.29
NL_1930_LOW_SGD_20230309,WS,Night,Low,NL,LowSGD,3/9/2023,19:30,2327.3429,36.2
DL_0800_LOW_SGD_20230310,WS,Day,Low,DL,LowSGD,3/10/2023,8:00,2356.152,36.34
SEEP_DH,WS,Day,High,DH,SEEP,NA,NA,2404.2121,35.3
SEEP_NH_0200_20230310,WS,Night,High,NH,SEEP,3/10/2023,2:00,2363.7107,36.25
SEEP_NL_1930_20230309,WS,Night,Low,NL,SEEP,3/9/2023,19:30,2752.1252,29.38
SEEP_DL_0800_20230310,WS,Day,Low,DL,SEEP,3/10/2023,8:00,2591.3824,32.93
SEEP_MID_1630_20230309,WS,Day,Mid,DM,SEEP,3/9/2023,16:30,2533.9263,33.23
SEEP_MID_2230_20230309,WS,Night,Mid,NM,SEEP,3/9/2023,22:30,2473.6847,34.58
