TrisCalDate,Date,Time,Site,Day_Night,Tide,Location,sal.ysi,TempInSitu,pH
3/10/2023,3/9/2023,14:00:00,Varari,Day,High,HighSGD,35.9,31.1,8.071043438
3/10/2023,3/10/2023,2:00:00,Varari,Night,High,HighSGD,35.9,28.3,7.996733462
3/10/2023,3/9/2023,19:30:00,Varari,Night,Low,HighSGD,35.3,28.9,8.059320657
3/10/2023,3/10/2023,8:00:00,Varari,Day,Low,HighSGD,35.9,27.9,7.991463947
3/10/2023,3/9/2023,14:00:00,Varari,Day,High,LowSGD,36,31,8.085297275
3/10/2023,3/10/2023,2:00:00,Varari,Night,High,LowSGD,36.1,28.1,7.993667202
3/10/2023,3/9/2023,19:30:00,Varari,Night,Low,LowSGD,35.9,29,8.061357307
3/10/2023,3/10/2023,8:00:00,Varari,Day,Low,LowSGD,36.2,27.8,8.007915821
3/10/2023,3/9/2023,14:00:00,Varari,Day,High,SEEP,35.3,31.6,8.036129731
3/10/2023,3/10/2023,2:00:00,Varari,Night,High,SEEP,35.9,28.3,7.990046087
3/10/2023,3/9/2023,19:30:00,Varari,Night,Low,SEEP,23.6,27.9,7.404136224
3/10/2023,3/10/2023,8:00:00,Varari,Day,Low,SEEP,28.8,25.3,7.417067473
3/10/2023,3/9/2023,16:30:00,Varari,Day,Mid,SEEP,33.2,30.5,8.024579236
3/10/2023,3/9/2023,22:30:00,Varari,Night,Mid,SEEP,32.5,28.7,7.88044021
