File Name,Variable,Description
CT_Calibration_Log,LoggerID,Unique logger identifier
,treatment,"Low, High, or Seep; relative SGD at logger location"
,date,Calibration date
,pre_post,pre or post; time of calibration relative to deployment
,time_in,Time of calibration start (24 hr)
,time_out,Time of calibration end (24 hr)
,cond_HL,H (high) or L (low); Logger conductivity range
,cond_uS,"Conductivity (microsiemens, µS) at time of calibration"
,EC_SC,EC (electrical conductivity) or SC (specific conductance); Reference value type at time of calibration
,temp_HL,H (high) or L (low); Logger temperature calibration type
,temp_C,Temperature (celcius) at time of calibration
,sal_psu,Salinity (psu) at time of calibration
,notes,relevant details
Site_Metadata,Location,Identifier name for the experimental site
,CowTagID,Sample locations at experimental site
,lat,Latitude (degrees)
,lon,Longitude (degrees)
,dist_to_seep_m,Staight-line distance from the CowTagID to the known seepage point (meters)
Launch_Log,Log_Type,CT (conductivity-temperature) or WL (water level); type of logger deployed at the experimental sites
,Serial,Serial number uniquely identifying each logger
,Treatment,Treatment location of each logger in situ
,time_start,Date and Time (24 hr) the logger began recording in situ
,time_end,Date and Time (24 hr) the logger stopped recording in situ
,notes,relevant details
Nutrients_experimental_sites,Sample_ID,"Identifier for each discrete water sample; treatment location, day or night sample, high or low tide, date, and time (24 hr) of each sample"
,SLAB_ID,Unique identifier from the nutrient processing laboratory
,Phosphate_umolL,Phosphate concentration (µmol per litre)
,Silicate_umolL,Silicate concentration (µmol per litre)
,NN_umolL,Nitrate plus nitrite concentration (µmol per litre)
,Ammonia_umolL,Ammonia concentration (µmol per litre)
pHProbe_Data_calculated,TrisCalDate,Date of pH probe calibration
,Date,Date of pH sample
,Time,Time (24 hr) of pH sample
,Location,Identifier name for the experimental site
,Treatment,Treatment location of each water sample
,Day_Night,Day or Night; indicates whether sample occurred in the light or darkness
,Tide,"High, Low, or Mid; tide at time of sampling"
,sal.ysi,Salinity (psu) of water sample during pH measurement
,TempInSitu,Temperature (celcius) of water sample during pH measurement
,pH,total scale; calculated from mV and standardized to a tris sample
Tris_Calibration_3_10_2023,TrisCalDate,Date of pH probe calibration
,mVTris,mV recorded by the pH probe in a tris buffer solution
,pH,pH (NBS scale) recorded by the pH probe in a tris buffer solution
,TTris,Temperature (celcius) recorded by the pH probe in a tris buffer solution
Water_Sample_rawTA,BottleID,Unique identifier from discrete water sampling at each experimental locaiton
,run_block,WS; indicates measurement taken from a water sample
,Day_Night,Day or Night; indicates whether sample occurred in the light or darkness
,Tide,"High, Low, or Mid; tide at time of sampling"
,DT,Simplifies Day/Night and Tide into one attribute
,Location,Treatment location of each water sample
,Date_ta,Date of water sample
,Time_ta,Time (24 hr) of water sample
,TA,Calculated total alkalinity (µmol/kg) of each water sample
,Salinity,Salinity (psu) of water sample during TA measurement
Water_Sampling,TrisCalDate,Date of pH probe calibration
,Date,Date of water sample
,Time,Time (24 hr) of water sample
,Site,Identifier name for the experimental site
,Location,Treatment location of each water sample
,Day_Night,Day or Night; indicates whether sample occurred in the light or darkness
,Tide,"High, Low, or Mid; tide at time of sampling"
,mV.orion,mV  of each water sample recorded by the pH probe
,temp.orion,Temperature (celcius) of each water sample recorded by the pH probe
,sal.ysi,Salinity (psu)  of each water sample
,econd.ysi,Electrical conductivity (µS)  of each water sample
,temp.ysi,Temperature (celcius)  of each water sample recorded by the YSI
,TempInSitu,Temperature (celcius) of each water sample recorded by a digital thermometer
,notes,relevant details
Species_Abundances_wide,CowTagID,Sample locations at prior experimental sites along SGD gradient
,Turf:Caulerpa racemosa,Percent cover of benthic species at prior sites along the SGD gradient
Species_Composition_2022,Location,Identifier name for the experimental site
,CowTagID,Sample locations at prior experimental sites along SGD gradient
,Date,Date of benthic composition survey
,Taxa,Species or substrate present at each of 200 points within a 2x2meter quadrat
,SpeciesCounts,Total counts of species presence across 200 points with a 2x2meter quadrat
,PhotoNum,Reference photo identification number
,Notes,relevant details
Species_FE,Taxa,Lowest taxonomic unit identified
,FE,"Functional entity comprised of phyla, morhphology, calcification strategy, and energetic resource strategy"
All_Weight_pChange,SpeciesID,Unique organism identifier using taxon and two treatment IDs
,DaysInSitu,Total days deployed per organism
,Sp,Taxon abbreviation
,SpRep,Paired organism identifiers
,AT,HIGH or LOW; Assemblage treatment type
,ET,HIGH or LOW; Environmental exposure treatment type
,delWeight.g,Change in weight (g)
,delWeight.g_biomnorm,Biomass-normalized change in weight (g)
,pWeight,Percent change in weight
,delWeight.mg_biomnorm_day,Biomass-normalized change in weight (mg)
,delVolume.ml,Change in volume dispalcement (mL)
,pVolume,Percent change in volume displacement
,SA_cm2,Surface area (cm2)
buoyant_weights,date,Date of buoyant weight measurement
,pre_post,pre or post deployment measurement
,AT,HIGH or LOW; Assemblage treatment type
,ET,HIGH or LOW; Environmental exposure treatment type
,SpeciesID,Unique organism identifier using taxon and two treatment IDs
,BW.g,Buoyant weight measurement (g)
